SU9s2A2F16nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU5s1a1A2F8nf0,0.9643333333333334,0.9925555555555556,0.0,0.9656666666666665,0.0,0.9695555555555556,0.9854444444444446,0.9195555555555557
SU5s1a1A2F8nf1,0.9678888888888889,0.9990000000000001,0.0,0.9792222222222222,0.9695555555555556,0.0,0.9892222222222222,0.8145555555555555
SU5s1S1a1A1nf1,0.9617777777777777,0.9885555555555556,0.0,0.9812222222222221,0.9854444444444446,0.9892222222222222,0.0,0.9710000000000001
SU6s1a1A2F8nf1,0.9597777777777778,0.9888888888888888,0.0,0.9688888888888889,0.9195555555555557,0.8145555555555555,0.9710000000000001,0.0

SU4a3A3nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9943333333333334,0.9503333333333334,0.0,0.9787777777777776,0.9799999999999999,0.9802222222222221,0.9735555555555555
SU2nf4,0.9943333333333334,0.0,0.978777777777778,0.0,0.9753333333333333,0.9763333333333333,0.9773333333333332,0.9725555555555553
SU10s2A2F16nf1,0.9503333333333334,0.978777777777778,0.0,0.0,0.9656666666666665,0.9792222222222222,0.9812222222222221,0.9688888888888889
SU4a3A3nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf0,0.9787777777777776,0.9753333333333333,0.9656666666666665,0.0,0.0,0.958888888888889,0.9706666666666665,0.9408888888888889
SU5s1a1A2F8nf1,0.9799999999999999,0.9763333333333333,0.9792222222222222,0.0,0.958888888888889,0.0,0.9718888888888888,0.901888888888889
SU5s1S1a1A1nf1,0.9802222222222221,0.9773333333333332,0.9812222222222221,0.0,0.9706666666666665,0.9718888888888888,0.0,0.9590000000000001
SU6s1a1A2F8nf1,0.9735555555555555,0.9725555555555553,0.9688888888888889,0.0,0.9408888888888889,0.901888888888889,0.9590000000000001,0.0

SU5s1a1A2F8nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9991111111111111,0.9643333333333334,0.9787777777777776,0.0,0.9762222222222222,0.9867777777777778,0.9287777777777779
SU2nf4,0.9991111111111111,0.0,0.9925555555555556,0.9753333333333333,0.0,0.9782222222222222,0.9863333333333333,0.9352222222222224
SU10s2A2F16nf1,0.9643333333333334,0.9925555555555556,0.0,0.9656666666666665,0.0,0.9695555555555556,0.9854444444444446,0.9195555555555557
SU4a3A3nf1,0.9787777777777776,0.9753333333333333,0.9656666666666665,0.0,0.0,0.958888888888889,0.9706666666666665,0.9408888888888889
SU5s1a1A2F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf1,0.9762222222222222,0.9782222222222222,0.9695555555555556,0.958888888888889,0.0,0.0,0.9722222222222223,0.8304444444444443
SU5s1S1a1A1nf1,0.9867777777777778,0.9863333333333333,0.9854444444444446,0.9706666666666665,0.0,0.9722222222222223,0.0,0.9271111111111112
SU6s1a1A2F8nf1,0.9287777777777779,0.9352222222222224,0.9195555555555557,0.9408888888888889,0.0,0.8304444444444443,0.9271111111111112,0.0

SU5s1a1A2F8nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9998888888888888,0.9678888888888889,0.9799999999999999,0.9762222222222222,0.0,0.9896666666666667,0.8439999999999999
SU2nf4,0.9998888888888888,0.0,0.9990000000000001,0.9763333333333333,0.9782222222222222,0.0,0.9921111111111113,0.7819999999999999
SU10s2A2F16nf1,0.9678888888888889,0.9990000000000001,0.0,0.9792222222222222,0.9695555555555556,0.0,0.9892222222222222,0.8145555555555555
SU4a3A3nf1,0.9799999999999999,0.9763333333333333,0.9792222222222222,0.0,0.958888888888889,0.0,0.9718888888888888,0.901888888888889
SU5s1a1A2F8nf0,0.9762222222222222,0.9782222222222222,0.9695555555555556,0.958888888888889,0.0,0.0,0.9722222222222223,0.8304444444444443
SU5s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.9896666666666667,0.9921111111111113,0.9892222222222222,0.9718888888888888,0.9722222222222223,0.0,0.0,0.8212222222222221
SU6s1a1A2F8nf1,0.8439999999999999,0.7819999999999999,0.8145555555555555,0.901888888888889,0.8304444444444443,0.0,0.8212222222222221,0.0

SU5s1S1a1A1nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9998888888888889,0.9617777777777777,0.9802222222222221,0.9867777777777778,0.9896666666666667,0.0,0.9767777777777777
SU2nf4,0.9998888888888889,0.0,0.9885555555555556,0.9773333333333332,0.9863333333333333,0.9921111111111113,0.0,0.9854444444444443
SU10s2A2F16nf1,0.9617777777777777,0.9885555555555556,0.0,0.9812222222222221,0.9854444444444446,0.9892222222222222,0.0,0.9710000000000001
SU4a3A3nf1,0.9802222222222221,0.9773333333333332,0.9812222222222221,0.0,0.9706666666666665,0.9718888888888888,0.0,0.9590000000000001
SU5s1a1A2F8nf0,0.9867777777777778,0.9863333333333333,0.9854444444444446,0.9706666666666665,0.0,0.9722222222222223,0.0,0.9271111111111112
SU5s1a1A2F8nf1,0.9896666666666667,0.9921111111111113,0.9892222222222222,0.9718888888888888,0.9722222222222223,0.0,0.0,0.8212222222222221
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
