Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,Sp2adj1nf1,SU4a3A3nf1,SU2adj1nf2,SO5adj1nf2,SU7a2A2nf1,SU3nf6,Sp3a3nf1,SU6adj1s1A1F8nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU2adj1nf2,0.004412734098291246,0.0,0.002260776661041748,0.008373237791386977,0.004229525846816499,0.004179978734661485,0.00827311576399392,0.020440292452789305,0.024991109530302084,0.04920365840057018,0.028756158760631895,0.0,0.03145720196641074,0.023746929626094124,0.056006200053605175,0.04301162633521314,0.06470896383036898,0.02897125011685435,0.0752632417289845,0.022546248764114464,0.0552268050859363,0.03214074948998199,0.04543493516374084,0.05497575223071834,0.10333010747652938,0.04118521849185969
SO5adj1nf2,0.0016329931618554463,0.0,0.002260776661041748,0.010515861036231576,0.006256108126374492,0.006716480559869968,0.008472176684759235,0.01917463602435954,0.025796209885261143,0.03724580513292738,0.03906013881752655,0.03145720196641074,0.0,0.02334582998691153,0.019336924953742424,0.06107827400602897,0.06664249561820312,0.03137630032719317,0.08409468869474854,0.022469732728470287,0.057365543277786146,0.05120329850485981,0.03517456467392311,0.05367080729368206,0.10152503796272787,0.07420991248553735
SU7a2A2nf1,0.043711173247428015,0.04037635446644484,0.041880783182743846,0.12013661205292729,0.08618391187841654,0.05410894360249308,0.024438698819699876,0.024574716003784598,0.02485569463031672,0.02435615368284209,0.023606143268225754,0.023746929626094124,0.02334582998691153,0.0,0.025929391302792534,0.023702437755546486,0.024372115213907884,0.02506934826081887,0.024560582693051527,0.023559027521902885,0.02472122345048661,0.024492629276761792,0.026087459737497546,0.026329113585956937,0.06806859285554046,0.026142770404921602
SU3nf6,0.021860669909426138,0.036026610535362144,0.023109041039770076,0.001979057014506312,0.003201562118716413,0.0034520525295346507,0.018436075745366452,0.03107383679775211,0.058955020519413315,0.06565820588471787,0.06395940552847217,0.056006200053605175,0.019336924953742424,0.025929391302792534,0.0,0.0888239519749287,0.03148235837558693,0.09296594358509284,0.1388988440876629,0.08150340824502712,0.11195038583626628,0.04943682837723309,0.031356374506983774,0.026926339851115626,0.037267799624996496,0.1107880860020607
Sp3a3nf1,0.0016329931618554463,0.0,0.002260776661041748,0.006489307444643929,0.005795112883571238,0.0042295258468164985,0.009510228411791414,0.020968892303706566,0.02991144336946053,0.05206726418777926,0.04966247185864908,0.04301162633521314,0.06107827400602897,0.023702437755546486,0.0888239519749287,0.0,0.03304920573932148,0.0932828732643053,0.09350594158186479,0.07474567991975634,0.05588579624754596,0.10515715752043595,0.09084617646207117,0.07767524988337304,0.038737363531006264,0.06098929778612346
SU6adj1s1A1F8nf1,0.0034359213546813925,0.002333333333333341,0.027833333333333335,0.0,0.0016329931618554463,0.0016329931618554463,0.031633754826837175,0.0909195309661852,0.039080046059338264,0.05913473316644514,0.03173851498311371,0.06470896383036898,0.06664249561820312,0.024372115213907884,0.03148235837558693,0.03304920573932148,0.0,0.03087834552274817,0.048364645030113555,0.05864701375366203,0.034759491109943225,0.03535573189424564,0.041634654369220425,0.03374742788552764,0.03967366884975475,0.04167199965871035
SU5adj1a2A2nf1,0.0011666666666666624,0.0,0.002260776661041748,0.0055,0.005580223014261068,0.0055,0.0791664912278758,0.021281186266016484,0.034379014917048825,0.017480942003603044,0.07696391650926065,0.02897125011685435,0.03137630032719317,0.02506934826081887,0.09296594358509284,0.0932828732643053,0.03087834552274817,0.0,0.05161179882330955,0.09556847457887634,0.09976305261301234,0.052320858385754926,0.0800694143297621,0.06498632334747229,0.029023457945446675,0.08031621532694655
SU6s2S2nf1,0.0011666666666666626,0.03543381937578216,0.03710944773384685,0.00552770798392567,0.0058333333333333345,0.005325515102890155,0.015242484486898238,0.04711098008367523,0.03547338595498195,0.07491550796285995,0.04392575807225439,0.0752632417289845,0.08409468869474854,0.024560582693051527,0.1388988440876629,0.09350594158186479,0.048364645030113555,0.05161179882330955,0.0,0.14570480050049445,0.06796649501367893,0.09729408455239655,0.1102049857714654,0.08839997486173598,0.04264713094427077,0.04555216789572149
SU5adj1s1A1F8nf0,0.02434930982366624,0.0258736244937667,0.02061620182714987,0.0011666666666666624,0.001979057014506312,0.001979057014506312,0.05081666393353005,0.027988092706244434,0.05008326400438906,0.021171259344267224,0.0562753646515655,0.022546248764114464,0.022469732728470287,0.023559027521902885,0.08150340824502712,0.07474567991975634,0.05864701375366203,0.09556847457887634,0.14570480050049445,0.0,0.08969469822062444,0.06595221333999675,0.06093165570265318,0.09529194905948536,0.05127702539474509,0.05463413666279434
SU3adj1nf2,0.0016329931618554463,0.0,0.002260776661041748,0.008812869377601534,0.0059066817155564565,0.006030017505041854,0.01652018966799919,0.021310534692702776,0.03285659074760429,0.06189148209209047,0.07708599094517757,0.0552268050859363,0.057365543277786146,0.02472122345048661,0.11195038583626628,0.05588579624754596,0.034759491109943225,0.09976305261301234,0.06796649501367893,0.08969469822062444,0.0,0.07594387547539447,0.10553514422535588,0.07990011125009637,0.028752294594422283,0.06549491074376186
