Sp2s1a2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2adj1a2nf4,0.09165319766366752,0.13496085394945245,0.0,0.0,0.09551478458371811,0.067058478257211,0.043478531668507195,0.14965066317144846,0.0848219631469277
Sp2s2a1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.05165173021853093,0.16882732796163857,0.09551478458371811,0.0,0.0,0.07510691967266432,0.0899536917900909,0.05958747071882366,0.05124668010927364
Sp2s1a1nf2,0.060502117093862974,0.15738511388970072,0.067058478257211,0.0,0.07510691967266432,0.0,0.060698099305161596,0.06019761694967461,0.042714094010765265
SU5adj1s1A1F8nf0,0.07222435894275116,0.06431557997220032,0.043478531668507195,0.0,0.0899536917900909,0.060698099305161596,0.0,0.07192211150582824,0.0681266975097153
SU3adj1nf2,0.06638310063097924,0.16803791459292972,0.14965066317144846,0.0,0.05958747071882366,0.06019761694967461,0.07192211150582824,0.0,0.033020008898459144
SU4adj2a1A1nf1,0.04175546094247456,0.0937295821387316,0.0848219631469277,0.0,0.05124668010927364,0.042714094010765265,0.0681266975097153,0.033020008898459144,0.0

SU5s1S1a1A1nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.06492312643179633,0.0913671200010373,0.05165173021853093,0.0,0.05666056612041941,0.07721390842536717,0.06296736368063134,0.04765164228382564
SU8s1S2a1f8nf1,0.06492312643179633,0.0,0.12711111111111112,0.16882732796163857,0.0,0.11020883655279638,0.07260037751151723,0.11780508069279966,0.07359121324361127
Sp2adj1a2nf4,0.0913671200010373,0.12711111111111112,0.0,0.09551478458371811,0.0,0.0705274659745416,0.07046582220314634,0.14671228246864848,0.10552771562690105
Sp2s2a1nf1,0.05165173021853093,0.16882732796163857,0.09551478458371811,0.0,0.0,0.07510691967266432,0.0899536917900909,0.05958747071882366,0.05124668010927364
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.05666056612041941,0.11020883655279638,0.0705274659745416,0.07510691967266432,0.0,0.0,0.0907802257251878,0.06836394978078454,0.06984992731334094
SU5adj1s1A1F8nf0,0.07721390842536717,0.07260037751151723,0.07046582220314634,0.0899536917900909,0.0,0.0907802257251878,0.0,0.09053510334821298,0.06767396421149544
SU3adj1nf2,0.06296736368063134,0.11780508069279966,0.14671228246864848,0.05958747071882366,0.0,0.06836394978078454,0.09053510334821298,0.0,0.06706593402147501
