Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3
SU8s1S2a1f8nf1,0.0016329931618554463,0.04243589937253075,0.03576971096084259,0.03947889731658336,0.04144742318756245,0.03320349713843743,0.046584749531245626,0.09245779818081568,0.04580635569680502,0.02923135683170082,0.0,0.05333333333333334,0.041229708814020126,0.02500000000000001,0.03683333333333334,0.02380242751392294,0.002260776661041748,0.045097425400767374,0.07852264358486383,0.04714899551186407,0.002260776661041748,0.06555341333599647,0.002499999999999991,0.05784774076064779,0.048595838870787646,0.05304610154279849,0.05143739452534076,0.043392267616349435,0.0690734311359215
Sp2adj1a2nf4,0.0055000000000000005,0.04844125881472895,0.08700638546170683,0.04679179652697919,0.05462218718921216,0.10732983948764874,0.07051890999346676,0.08416666666666667,0.04432362048990734,0.02857738033247041,0.05333333333333334,0.0,0.04941996897341532,0.012827920936595901,0.04692665672207121,0.024381231397212988,0.004681523968396042,0.04733568069296845,0.043340063579915426,0.056143664924113316,0.004681523968396042,0.04467910274638718,0.004229525846816499,0.0546577736669014,0.053317966536202,0.06896778636113787,0.05524591488165538,0.05060851926526029,0.045826969255135255
SU5adj1s1A1F8nf0,0.003887301263230187,0.046785562825394,0.05715573267641468,0.05009685064397206,0.055558027722773295,0.08389825186895535,0.0660473315130899,0.06349890637728427,0.05505073417615186,0.01958528359083251,0.041229708814020126,0.04941996897341532,0.0,0.020030532250098154,0.03882331773560833,0.02388688622096512,0.002499999999999991,0.045468242885679126,0.06214141578332083,0.07390609657606814,0.002499999999999991,0.05869033613428667,0.002499999999999991,0.026342298052118886,0.07307549368822476,0.0819749284164914,0.04172695638180299,0.041829349079855936,0.06167229704026129
SU9s2A2F16nf0,0.003179797338056485,0.0,0.0,0.0,0.0,0.0011666666666666626,0.002499999999999991,0.0,0.0086986589004666,0.016069294390925262,0.02500000000000001,0.012827920936595901,0.020030532250098154,0.0,0.0,0.03430095560703164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011666666666666624
SO5adj1nf2,0.001632993161855446,0.03214377423735772,0.03476108935769036,0.05955599605973077,0.04175856532231176,0.023676641090605164,0.027071920672329264,0.022058004342087597,0.05385809544018841,0.0016329931618554463,0.03683333333333334,0.04692665672207121,0.03882331773560833,0.0,0.0,0.024051449482769688,0.004841946348777985,0.04797597778518374,0.05538652062250045,0.0554316395812596,0.002499999999999991,0.03835361782153022,0.002808716591058789,0.04081428126961879,0.047947019372080533,0.039658612627720045,0.04265494630689908,0.039877938763180826,0.03824046722169244
SU7a2A2nf1,0.002260776661041748,0.02366960075708925,0.023828670872618047,0.02420973174388992,0.023783747952470964,0.0241522945769824,0.02400289334411352,0.024037008503093264,0.02380534487136123,0.026308004696500856,0.02380242751392294,0.024381231397212988,0.02388688622096512,0.03430095560703164,0.024051449482769688,0.0,0.0694934049628692,0.024051449482769688,0.02473470346609305,0.024230375793848333,0.07224360794484788,0.023587308263367215,0.06350174975716985,0.02415286962476946,0.023430749027719962,0.02396988851779573,0.02410912690248239,0.023575528743923338,0.024290487392758874
Sp2s1a2nf0,0.0,0.003179797338056485,0.0011666666666666624,0.0016329931618554463,0.0,0.0,0.0032015621187164132,0.0016329931618554463,0.002499999999999991,0.0,0.002260776661041748,0.004681523968396042,0.002499999999999991,0.0,0.004841946348777985,0.0694934049628692,0.0,0.0031797973380564854,0.007071067811865489,0.0035901098714230095,0.07713282195163237,0.004841946348777985,0.09067647005823629,0.004913134324327898,0.0,0.0011666666666666626,0.0,0.007788880963698624,0.005011098792790969
Sp2adj1nf1,0.0011666666666666624,0.04344089215371976,0.030659872435771438,0.07787097590815777,0.032634763332645415,0.019692779274535,0.023082581215183782,0.022173557826083445,0.05257507859137149,0.0016329931618554463,0.045097425400767374,0.04733568069296845,0.045468242885679126,0.0,0.04797597778518374,0.024051449482769688,0.0031797973380564854,0.0,0.04631294515455575,0.05876412359784005,0.0023333333333333405,0.040616430720146306,0.0023333333333333405,0.045838181561760165,0.040536677493625724,0.04175856532231175,0.0499235526691672,0.0551774913851251,0.038188130791298666
SU5s1S1a1A1nf1,0.008801830617673943,0.061897092015699734,0.033225241408704115,0.08099056872390897,0.07979644241582591,0.06147628268961399,0.03467467856135559,0.022040997154293078,0.05771313156947521,0.00745542308211502,0.07852264358486383,0.043340063579915426,0.06214141578332083,0.0,0.05538652062250045,0.02473470346609305,0.007071067811865489,0.04631294515455575,0.0,0.0676348447342213,0.007380529941828189,0.042309704691844766,0.006914156170897193,0.04685794134046722,0.05272807601268986,0.07036729038094017,0.059126981996377934,0.0626223247377128,0.03618778185459224
SU4adj2a1A1nf1,0.002499999999999991,0.07214587845315751,0.052816243292717786,0.04964904609131759,0.07071932000678614,0.07523463298242374,0.03938732170522783,0.08176796438703854,0.058623326794412164,0.005066228051190219,0.04714899551186407,0.056143664924113316,0.07390609657606814,0.0,0.0554316395812596,0.024230375793848333,0.0035901098714230095,0.05876412359784005,0.0676348447342213,0.0,0.006792561290771623,0.048609555530665864,0.0035901098714230095,0.06173419725817378,0.06332982446420223,0.06854621312175702,0.08341262893990734,0.04766783215358364,0.05448266798818786
