Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,Sp2adj1nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SO5adj1nf2,SU7a2A2nf1,SU2adj1nf2,SU6adj1s1A1F8nf1,SU6s2S2nf1,SU3nf6,Sp3a3nf1,SU3adj1nf4,SU5adj1a2A2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU7a2A2nf1,0.044910095375835776,0.043520110293977884,0.047227581395244494,0.11118665487468458,0.08475454756727413,0.06105916984550496,0.026343879744638983,0.026381811916545844,0.02794637722496424,0.026049632115124653,0.02595722977857572,0.026236636810214667,0.0,0.02838231060987734,0.028331372481167707,0.027576157173261916,0.02730282850630031,0.026689573494781318,0.026457513110645918,0.02748181216732259,0.026056029372616755,0.026920149413486635,0.02760032205931261,0.026549743668986516,0.026841096185596536,0.02720089867796447,0.08367861800430927,0.028676354952004157
SU2adj1nf2,0.003004626062886659,0.0,0.002260776661041748,0.009293067906300434,0.005385164807134514,0.005918426968188235,0.009352658564398814,0.01780761385225745,0.04715253027262811,0.03581433604950212,0.020361319538117685,0.030013422923011557,0.02838231060987734,0.0,0.06707292879976078,0.07003986959820337,0.028357342768476904,0.04566666666666667,0.03694026709883584,0.032914029430219156,0.022003156339236614,0.05499520181090549,0.03527668414752788,0.03940530139178964,0.03525935652025178,0.046138679844332106,0.09027135019853567,0.050579969684978375
SU6adj1s1A1F8nf1,0.005937171043518957,0.0011666666666666624,0.02939623936643748,0.0016329931618554463,0.002499999999999991,0.001979057014506312,0.0293276509647655,0.09532473737470015,0.05757989618299469,0.026465910988372268,0.04164132562731402,0.06565820588471787,0.028331372481167707,0.06707292879976078,0.0,0.03242255730540424,0.030433899228035535,0.029503295484478408,0.02881164887872804,0.03324195809181187,0.04761652374263932,0.03260921819227059,0.02851120637379079,0.03637803061067367,0.038281123866005344,0.02814890959009089,0.04425965054840205,0.042337598210364064
SU6s2S2nf1,0.0011666666666666624,0.028529224782083838,0.03119116684077222,0.005166666666666663,0.003929942040850527,0.004642796092394702,0.013913422775626898,0.035860842154082216,0.06008882314263334,0.039370039370059055,0.02753785273643051,0.07894952677361516,0.027576157173261916,0.07003986959820337,0.03242255730540424,0.0,0.10993685056026989,0.10044691798822568,0.05320531510625189,0.06485025486114573,0.11132085758443172,0.05006689968876087,0.10614311617392393,0.09705511034687687,0.10177439647464276,0.09493213950560214,0.042491829279939886,0.05630793312965175
SU3nf6,0.026679163738351656,0.04193546629445454,0.00884433277428107,0.002260776661041748,0.00401732359773131,0.0030550504633038824,0.04985228179331412,0.027846803127907594,0.019524912860809963,0.051246680109273635,0.0565442304749123,0.045801807339400424,0.02730282850630031,0.028357342768476904,0.030433899228035535,0.10993685056026989,0.0,0.09444339868702077,0.08473307762877756,0.08367330650943719,0.08011034057265433,0.1136265813971361,0.09652129874339191,0.05660388679233963,0.04532107677449864,0.06077371507851436,0.0370168880377592,0.1005265304948566
Sp3a3nf1,0.0011666666666666624,0.0,0.002260776661041748,0.00578311719096582,0.006757711644237771,0.004787135538781693,0.010904891868637067,0.0200201287597147,0.047511402140258216,0.0367861688984083,0.0253311402559511,0.045113745133828126,0.026689573494781318,0.04566666666666667,0.029503295484478408,0.10044691798822568,0.09444339868702077,0.0,0.09032287762367971,0.0942844396258235,0.09732662648125753,0.05032560647092757,0.05919013619026588,0.10923166004211216,0.0945487822355329,0.07753422183497785,0.03973558438813587,0.06905332078264674
SU3adj1nf4,0.0011666666666666624,0.0,0.002260776661041748,0.003480102169636847,0.004096068575814829,0.004179978734661485,0.037178622890042604,0.02134439817219809,0.024621580416825845,0.05173006862551025,0.040809857197060186,0.0344323007266917,0.026457513110645918,0.03694026709883584,0.02881164887872804,0.05320531510625189,0.08473307762877756,0.09032287762367971,0.0,0.05106531764971864,0.08524621203705574,0.08162941327187836,0.06511122961688115,0.059973142136941424,0.0748138430446606,0.07021474995405959,0.03338496002027793,0.07504739243378887
SU5adj1a2A2nf1,0.0,0.0,0.001979057014506312,0.003480102169636847,0.0055901699437494725,0.006403124237432851,0.10273496105134913,0.023528351691806487,0.025100354136501295,0.06632851741311743,0.04811011674620353,0.02624087142861939,0.02748181216732259,0.032914029430219156,0.03324195809181187,0.06485025486114573,0.08367330650943719,0.0942844396258235,0.05106531764971864,0.0,0.08969949832635632,0.0950239735832782,0.06407916111255585,0.055382759050087056,0.08784202992999549,0.07347732076407432,0.03708249062712902,0.08147954753597167
SU5adj1s1A1F8nf0,0.024689178916188277,0.023274330161025997,0.018685258598394844,0.0011666666666666624,0.001632993161855446,0.0,0.05157222551378257,0.028198207192814392,0.014840822079655827,0.06238878994748265,0.05762064637687509,0.02566666666666666,0.026056029372616755,0.022003156339236614,0.04761652374263932,0.11132085758443172,0.08011034057265433,0.09732662648125753,0.08524621203705574,0.08969949832635632,0.0,0.08233468284993876,0.08191730247294796,0.0634656512523813,0.058291413509100026,0.08850612031567837,0.05230784942158404,0.04682235933112869
SU3adj1nf2,0.0011666666666666624,0.0,0.002260776661041748,0.007557189365836436,0.008326663997864539,0.0060644684662200885,0.019261360284258226,0.020589236670325264,0.0701355829803959,0.05898705130977664,0.030741304100148022,0.05320949163448191,0.026920149413486635,0.05499520181090549,0.03260921819227059,0.05006689968876087,0.1136265813971361,0.05032560647092757,0.08162941327187836,0.0950239735832782,0.08233468284993876,0.0,0.06889928237007342,0.07054569047393643,0.10892199043352081,0.07131717106622282,0.04372928080817246,0.06353389296710502
SU3adj1nf3,0.024508501926202395,0.010677078252031317,0.0027080128015453103,0.0033333333333333214,0.004932882862316248,0.005,0.02782335150352826,0.026087459737497546,0.04291982189048682,0.04419024527854284,0.04184130070211064,0.04999472194364345,0.02760032205931261,0.03527668414752788,0.02851120637379079,0.10614311617392393,0.09652129874339191,0.05919013619026588,0.06511122961688115,0.06407916111255585,0.08191730247294796,0.06889928237007342,0.0,0.059424087895585086,0.06282780700719494,0.041198705481281,0.03454304882638796,0.07164360093934109
SU5s1S1a1A1nf1,0.008950481054731712,0.007833333333333345,0.01445779297741457,0.011996527275285414,0.011827463332806784,0.009604686356149287,0.04086733278413076,0.024610295948376285,0.0378608563617418,0.051765765177812686,0.03515402616423268,0.04684489774185066,0.026549743668986516,0.03940530139178964,0.03637803061067367,0.09705511034687687,0.05660388679233963,0.10923166004211216,0.059973142136941424,0.055382759050087056,0.0634656512523813,0.07054569047393643,0.059424087895585086,0.0,0.05624574057947262,0.06205754497955014,0.045070623593546064,0.04985423196123318
Sp2adj1a2nf4,0.0068718427093627694,0.009655165571973491,0.02778088871468618,0.0027080128015453103,0.007071067811865471,0.005068968775248515,0.06992555565266058,0.035079275299748656,0.024776781245530836,0.09861893552682693,0.04063010651666514,0.032439687626938295,0.026841096185596536,0.03525935652025178,0.038281123866005344,0.10177439647464276,0.04532107677449864,0.0945487822355329,0.0748138430446606,0.08784202992999549,0.058291413509100026,0.10892199043352081,0.06282780700719494,0.05624574057947262,0.0,0.049796530445849786,0.05213124462994017,0.0491697739131132
Sp2s1a1nf2,0.013666666666666666,0.008333333333333337,0.004409585518440992,0.006823163163486247,0.008498365855987984,0.008393118874676125,0.015205992970609383,0.021612753436596435,0.03255294832184091,0.06320689132611342,0.03405224743765902,0.03920211162113025,0.02720089867796447,0.046138679844332106,0.02814890959009089,0.09493213950560214,0.06077371507851436,0.07753422183497785,0.07021474995405959,0.07347732076407432,0.08850612031567837,0.07131717106622282,0.041198705481281,0.06205754497955014,0.049796530445849786,0.0,0.03766961640367474,0.06141480096668699
SU8s1S2a1f8nf1,0.002260776661041748,0.09804817410051268,0.04343705535343961,0.0011666666666666624,0.004725815626252612,0.06242973828410801,0.06672684783670081,0.034607320998116385,0.09996235402501395,0.057600395446173416,0.05189305241445034,0.09443457464768341,0.08367861800430927,0.09027135019853567,0.04425965054840205,0.042491829279939886,0.0370168880377592,0.03973558438813587,0.03338496002027793,0.03708249062712902,0.05230784942158404,0.04372928080817246,0.03454304882638796,0.045070623593546064,0.05213124462994017,0.03766961640367474,0.0,0.05515130702591432
SU4adj2a1A1nf1,0.0016329931618554463,0.003818813079129868,0.008480369488805699,0.0076376261582597445,0.010225241100118652,0.009949874371066206,0.08014847333404285,0.03789202495981913,0.07364498172539208,0.056353300208989036,0.0845512664994834,0.04756983170969695,0.028676354952004157,0.050579969684978375,0.042337598210364064,0.05630793312965175,0.1005265304948566,0.06905332078264674,0.07504739243378887,0.08147954753597167,0.04682235933112869,0.06353389296710502,0.07164360093934109,0.04985423196123318,0.0491697739131132,0.06141480096668699,0.05515130702591432,0.0
