Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU5adj1s1A1F8nf0,0.9776666666666667,0.9398333333333333,0.7775000000000002,0.721,0.8276666666666667,0.6970000000000001,0.8665,0.6153333333333333,0.8908333333333335,0.8206666666666667,0.9484999999999999,0.6716666666666665,0.6206666666666666,0.0,0.9511666666666667,0.9453333333333334,0.8911666666666668,0.6465000000000001,0.9998333333333334,0.9601666666666668,0.6976666666666667,0.5623333333333332,1.0,0.6666666666666665,0.9996666666666667,0.6769999999999999,0.7451666666666666,0.8241666666666667
SU9s2A2F16nf0,1.0,1.0,1.0,0.9998333333333334,1.0,0.9976666666666668,1.0,0.8965,1.0,0.9821666666666666,0.9515,0.8673333333333335,0.9980000000000001,0.9511666666666667,0.0,1.0,0.9076666666666666,1.0,1.0,1.0,0.9965,0.9991666666666668,1.0,0.9983333333333334,1.0,1.0,1.0,1.0
SO5adj1nf2,0.9998333333333334,0.5351666666666667,0.9495,0.8746666666666667,0.6075,0.8771666666666667,0.9926666666666667,0.9621666666666665,0.9798333333333334,0.6968333333333332,0.9993333333333334,0.8056666666666666,0.9243333333333333,0.9453333333333334,1.0,0.0,0.8895000000000001,0.9145,0.9908333333333332,0.5690000000000001,0.8633333333333333,0.799,0.995,0.8458333333333334,0.9941666666666668,0.9198333333333334,0.7598333333333334,0.8958333333333333
SU7a2A2nf1,0.9548333333333335,0.8866666666666667,0.8936666666666666,0.8919999999999999,0.8865000000000001,0.8873333333333333,0.8923333333333332,0.8846666666666667,0.8936666666666667,0.8886666666666667,0.9086666666666666,0.8553333333333333,0.8846666666666667,0.8911666666666668,0.9076666666666666,0.8895000000000001,0.0,0.89,0.8584999999999999,0.8869999999999999,0.8803333333333333,0.8856666666666668,0.6203333333333333,0.882,0.66,0.8885000000000001,0.8889999999999999,0.8898333333333334
SU3adj1nf4,0.9998333333333334,0.8958333333333335,0.7853333333333333,0.8090000000000002,0.7438333333333332,0.6128333333333333,0.9305,0.6181666666666668,0.9571666666666667,0.8785,0.9993333333333334,0.7373333333333334,0.633,0.6465000000000001,1.0,0.9145,0.89,0.0,0.9986666666666667,0.9206666666666667,0.609,0.6979999999999998,0.9981666666666668,0.6423333333333333,0.9976666666666668,0.5696666666666667,0.7253333333333332,0.8569999999999999
Sp2s1a2nf0,0.9993333333333334,0.9951666666666666,1.0,0.9996666666666667,0.9936666666666667,0.9983333333333334,0.9998333333333334,0.9993333333333334,0.9991666666666668,0.9971666666666666,0.9993333333333334,0.9998333333333334,0.9990000000000001,0.9998333333333334,1.0,0.9908333333333332,0.8584999999999999,0.9986666666666667,0.0,0.9905000000000002,0.9855000000000002,0.9933333333333334,0.7505,0.9946666666666667,0.7709999999999999,0.9986666666666667,0.9976666666666667,0.9980000000000001
Sp2adj1nf1,1.0,0.5745,0.9734999999999999,0.9313333333333332,0.6826666666666666,0.8953333333333333,0.9945,0.9706666666666667,0.9850000000000001,0.7339999999999999,0.9993333333333334,0.8018333333333334,0.9383333333333335,0.9601666666666668,1.0,0.5690000000000001,0.8869999999999999,0.9206666666666667,0.9905000000000002,0.0,0.8893333333333332,0.8248333333333333,0.9958333333333332,0.8585,0.9945,0.9394999999999999,0.8343333333333334,0.9298333333333335
SU5s1S1a1A1nf1,0.9910000000000001,0.8633333333333333,0.8615,0.7838333333333333,0.7138333333333332,0.596,0.8941666666666666,0.5943333333333333,0.9476666666666667,0.7881666666666667,0.9841666666666667,0.7148333333333333,0.5884999999999999,0.6976666666666667,0.9965,0.8633333333333333,0.8803333333333333,0.609,0.9855000000000002,0.8893333333333332,0.0,0.6886666666666666,0.9871666666666666,0.5755,0.9846666666666667,0.6121666666666667,0.6653333333333334,0.7735
SU4adj2a1A1nf1,0.9996666666666667,0.7933333333333333,0.6861666666666667,0.6481666666666668,0.6713333333333332,0.6561666666666666,0.8896666666666668,0.6678333333333333,0.7948333333333334,0.5921666666666667,0.9948333333333333,0.6016666666666667,0.6153333333333333,0.5623333333333332,0.9991666666666668,0.799,0.8856666666666668,0.6979999999999998,0.9933333333333334,0.8248333333333333,0.6886666666666666,0.0,0.9906666666666666,0.6673333333333333,0.9906666666666668,0.5928333333333333,0.6778333333333333,0.7458333333333335
Sp2s2a1nf1,0.9963333333333333,0.9971666666666665,1.0,0.9995,0.996,0.9966666666666666,0.9998333333333334,0.9986666666666667,0.9991666666666668,0.997,0.9983333333333334,0.9798333333333333,0.9958333333333335,1.0,1.0,0.995,0.6203333333333333,0.9981666666666668,0.7505,0.9958333333333332,0.9871666666666666,0.9906666666666666,0.0,0.9930000000000001,0.6946666666666669,0.9969999999999999,0.9975000000000002,0.9991666666666668
