Theories,SU2nf4,SU9s2A2F16nf0,Sp2s1a2nf0,SU10s2A2F16nf1,Sp2s2a1nf1,Sp2s1a2nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,SU7a2A2nf1,SU5s1S1a2A2nf1,SU4a3A3nf1,Sp2adj1nf1,SO5nf5,SO5adj1nf2,SU2adj1nf3,SU2adj1nf2,SU2adj2nf1,SU4s1S1a2A2nf1,SU5a3A3nf0,SU7s1S2a1f8nf0,SU3nf6,SU3adj1nf4,SU5adj1s1A1F8nf0,SU6adj1s1A1F8nf1,SU5adj1a2A2nf1,SU3adj2nf2,Sp2adj2nf2,Sp4a3nf0,SO12s2nf1,Sp5a3nf1,SU6s2S2nf1,Sp3a3nf1,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,Sp4s1a1nf1,SU3adj1nf2,SU4adj2a1A1nf0,Sp2s2nf1,SU4adj1a2A2nf1,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU7s1S2a1f8nf0,0.002499999999999991,0.0,0.0,0.12333614861651693,0.002499999999999991,0.0,0.021746647251166484,0.02187400791401115,0.02187400791401115,0.026731691553909052,0.07446102634562891,0.021408720964441887,0.021666666666666667,0.022422706745122846,0.025940637360455626,0.023935677693908444,0.021229565338094995,0.021666666666666674,0.05044248650140518,0.02364376826518517,0.0,0.02534484387624257,0.023921166824012196,0.03782268572636737,0.03863108995499754,0.02420973174388991,0.02581988897471611,0.0653834841531101,0.02420973174388991,0.0370435179514881,0.021984843263788197,0.041499665326629125,0.024509068616421253,0.02187400791401115,0.019878100736460923,0.050552502960343665,0.022912878474779196,0.023511226632776473,0.025289984842489188,0.025399584423546943,0.02420973174388991,0.02420973174388991,0.03876567783204336,0.04561310727801337
SU3nf6,0.02849220166213128,0.04412734098291243,0.0033333333333333214,0.007637626158259738,0.002499999999999991,0.0033333333333333214,0.09714322187139747,0.016996731711975955,0.07049428660852201,0.02610076627227638,0.012499999999999995,0.11897712198383163,0.016007810593582122,0.09761389359216353,0.020155644370746368,0.10334677331951665,0.018708286933869687,0.03641008712492246,0.03287180487219338,0.12103718436910205,0.02534484387624257,0.0,0.06057593948462083,0.06392812804670224,0.030607279453678277,0.08114202226822904,0.08147937707720211,0.06733518974338586,0.0504149448741806,0.07668930825088985,0.1609779142891623,0.1365141425315015,0.12169234888758529,0.1276088859671527,0.037721567659187584,0.023921166824012203,0.029214246904930182,0.11714485335116803,0.13311440359496957,0.15802821478035706,0.09553940431977674,0.04755114205895702,0.02204792759220494,0.09282974259961681
SU3adj1nf4,0.002499999999999991,0.0,0.002499999999999991,0.002499999999999991,0.004082482904638616,0.0033333333333333214,0.039826010484495064,0.016266017746619288,0.039965262694272655,0.02387758130315732,0.012499999999999995,0.029297326385411583,0.030968173626770065,0.032702361450580975,0.03675179511866659,0.046315644105300854,0.036026610535362144,0.057879184513951125,0.023213980461973552,0.11440971695329609,0.023921166824012196,0.06057593948462083,0.0,0.09240610850419406,0.030686587732536616,0.043019698330467676,0.01952562418976663,0.018800856954464117,0.0982344135219425,0.05375484474290048,0.05088794880257342,0.03091206165165237,0.08907315969346646,0.07708220719898118,0.06485025486114575,0.0636014063436406,0.07195677714974301,0.05137687547266116,0.06180727213596219,0.06466258578188779,0.05754828890206516,0.046368092477478515,0.019737865470545027,0.05351531452667439
SU5adj1s1A1F8nf0,0.015898986690282422,0.021147629234082536,0.0,0.021794494717703356,0.002499999999999991,0.002499999999999991,0.06423156890847712,0.01572330188676101,0.05263210891546043,0.023213980461973517,0.011931517552730298,0.08295330011518531,0.02048034287907419,0.01972026594366538,0.01943650631615101,0.05406400527769532,0.02266911751455907,0.08488554385497897,0.0282474187611305,0.11091788754649891,0.03782268572636737,0.06392812804670224,0.09240610850419406,0.0,0.05727613425813196,0.06202598021976132,0.07690181330039553,0.04065436972550155,0.04908184774209074,0.06359594676112969,0.09509133036776335,0.10938273782152891,0.09867525300477095,0.059628479399994376,0.07779960011322537,0.047733344972065606,0.05679519737129582,0.07091172133168268,0.06160469859425407,0.03790521805181388,0.0634045652054242,0.05124153046547735,0.03578485092263984,0.03431876713662334
SU6adj1s1A1F8nf1,0.009166666666666682,0.0,0.0,0.024565671621639442,0.002499999999999991,0.002499999999999991,0.02905932629027118,0.055677643628300216,0.037721567659187584,0.023407619841980216,0.04601479230759507,0.03206980234148975,0.05528336096873995,0.03292457710856402,0.05423713365090993,0.07411046559772182,0.05715476066494083,0.04790760783934936,0.025887040945015104,0.029450995078453838,0.03863108995499754,0.030607279453678277,0.030686587732536616,0.05727613425813196,0.0,0.03105774192264037,0.0378318648760539,0.02081665999466133,0.03150176361905966,0.026627575514450746,0.029767618499152916,0.049413223601245324,0.03215630230262457,0.029767618499152916,0.031135902820449014,0.042687494916219,0.03166666666666666,0.02959213484094117,0.03100179206289712,0.03313482558678506,0.03424787098005754,0.034166666666666665,0.041674999166833294,0.04758034141206733
SU5adj1a2A2nf1,0.0,0.0,0.005527707983925673,0.0,0.007264831572567809,0.0058333333333333475,0.05354774608805783,0.01952562418976663,0.04200694387042855,0.021874007914011135,0.012499999999999995,0.09661277233253261,0.013017082793177754,0.0720532210707243,0.03010398644698073,0.08003471469028647,0.033839900840411594,0.14288690166235204,0.030743111242827862,0.10030855175684451,0.02420973174388991,0.08114202226822904,0.043019698330467676,0.06202598021976132,0.03105774192264037,0.0,0.019364916731037088,0.014337208778404378,0.07276293317647692,0.040138648595974304,0.04961658548868065,0.10651030205780303,0.1057545638626427,0.08991122164545298,0.0610327780786685,0.04378768218473216,0.07118052168020873,0.07659870175865327,0.12046207333061769,0.08303697302340018,0.10826921179274476,0.0685413500499273,0.01699673171197595,0.08620469824783333
SU3adj2nf2,0.0,0.0,0.005527707983925673,0.002499999999999991,0.006454972243679048,0.004082482904638616,0.03060727945367825,0.08409650541028577,0.06368869601428498,0.023033791601808743,0.01795054935711501,0.03783186487605388,0.03023059524536176,0.014648663192705797,0.021794494717703342,0.04552929459882579,0.02714416245817054,0.09089065469623987,0.08083333333333334,0.025940637360455626,0.02581988897471611,0.08147937707720211,0.01952562418976663,0.07690181330039553,0.0378318648760539,0.019364916731037088,0.0,0.03913118960624631,0.0429469957557504,0.030743111242827862,0.029450995078453807,0.08216260977138232,0.021081851067789186,0.03321855237999123,0.056574680241645595,0.03855911767086425,0.05375484474290046,0.03342695186688596,0.07304869000270375,0.043309288200620945,0.04422166387140533,0.05587684871413403,0.06882445463318657,0.04798726682962654
Sp2adj2nf2,0.008164965809277279,0.0,0.008374896350934096,0.002499999999999991,0.008498365855987993,0.0075000000000000205,0.02494438257849296,0.09411871935663667,0.019454362549881248,0.02333333333333333,0.06146927868636676,0.019382838916021664,0.026874192494328493,0.02863806712906596,0.023213980461973514,0.048769582961331784,0.025563102750296617,0.054524459343185304,0.051800900893066826,0.018276426832884406,0.0653834841531101,0.06733518974338586,0.018800856954464117,0.04065436972550155,0.02081665999466133,0.014337208778404378,0.03913118960624631,0.0,0.01499999999999999,0.030046260628866554,0.018929694486000914,0.0263523138347365,0.02155419526062925,0.030092450142112995,0.01464866319270578,0.031797973380564865,0.02484675252645928,0.03452052529534662,0.024776781245530843,0.02560381915956201,0.025221243250702578,0.04728753653037034,0.03647678104706548,0.026822461565718457
Sp4a3nf0,0.0,0.0,0.0,0.009999999999999998,0.0033333333333333214,0.006718548123582142,0.007637626158259754,0.016996731711975948,0.026087459737497536,0.02333333333333333,0.012499999999999995,0.05515130702591432,0.07785759793080928,0.10132798779760266,0.048591265790377515,0.09265002848233657,0.08259674462242576,0.13432961119739925,0.03416666666666668,0.09121098861674751,0.02420973174388991,0.0504149448741806,0.0982344135219425,0.04908184774209074,0.03150176361905966,0.07276293317647692,0.0429469957557504,0.01499999999999999,0.0,0.06629584367732935,0.05406400527769531,0.09947431270880382,0.06517071598672385,0.10199400853862828,0.094666813380168,0.09475480052336252,0.10267600065794884,0.056328648720403975,0.05778912815861936,0.04631564410530084,0.03312434485725299,0.09740023385780733,0.05286907308520634,0.0942661716158618
SO12s2nf1,0.0,0.027950849718747367,0.015456030825826165,0.03037954355593029,0.015388487760516172,0.01121135337256143,0.05664828133119114,0.07701460900374679,0.07009913614937696,0.04068851871911234,0.0210818510677892,0.05790917217697229,0.06282692274990256,0.0745775137394346,0.05218157401484424,0.05809475019311125,0.05652555960703874,0.06274396828027025,0.031446603773522014,0.04915960401250875,0.0370435179514881,0.07668930825088985,0.05375484474290048,0.06359594676112969,0.026627575514450746,0.040138648595974304,0.030743111242827862,0.030046260628866554,0.06629584367732935,0.0,0.053547746088057804,0.042687494916218975,0.05942432162002357,0.045825756949558406,0.04798726682962654,0.043212973874880566,0.05505048188304581,0.032317865716108875,0.045833333333333344,0.05153882032022076,0.06316314853879065,0.03872983346207417,0.01835226295462104,0.03590109871423004
