Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU4adj2a1A1nf1,1.0,0.7725,0.6433333333333333,0.675,0.6508333333333333,0.655,0.8474999999999999,0.6825,0.8,0.5691666666666667,0.9933333333333334,0.595,0.61,0.565,0.9983333333333334,0.7975,0.8858333333333333,0.7049999999999998,0.9908333333333333,0.7966666666666666,0.6666666666666666,0.0,0.99,0.6291666666666667,0.9891666666666665,0.5808333333333333,0.6641666666666667,0.7583333333333334,0.6658333333333333,0.6516666666666667,0.625,0.7066666666666667,0.6066666666666667,0.5499999999999999,0.6266666666666667,0.7091666666666667,0.7316666666666667,0.6808333333333334,0.67,0.705,0.7708333333333333,0.6725,0.6141666666666667,0.7866666666666666
Sp2s2a1nf1,0.9983333333333334,0.9949999999999999,1.0,0.9991666666666668,0.9933333333333334,0.9983333333333334,0.9991666666666668,0.9991666666666668,1.0,0.9983333333333334,0.9983333333333334,0.9991666666666668,0.9983333333333334,0.9991666666666668,1.0,0.9949999999999999,0.63,0.9966666666666667,0.7941666666666667,0.99,0.9875,0.99,0.0,0.9950000000000001,0.7333333333333334,0.9933333333333334,0.9974999999999999,0.9991666666666668,0.9941666666666666,0.9866666666666666,0.9858333333333335,0.9983333333333334,0.9858333333333332,0.9908333333333333,0.9916666666666666,0.9966666666666667,0.9991666666666668,0.9916666666666666,0.9991666666666668,0.9883333333333333,0.99,0.9633333333333333,0.9958333333333333,0.9950000000000001
Sp2s1a1nf2,0.9916666666666668,0.8275,0.8858333333333333,0.8200000000000001,0.6408333333333334,0.55,0.9791666666666664,0.5341666666666667,0.9708333333333334,0.7258333333333333,0.9974999999999999,0.7299999999999999,0.5650000000000001,0.7208333333333332,1.0,0.8591666666666665,0.8808333333333334,0.6599999999999999,0.9958333333333333,0.8008333333333333,0.5733333333333334,0.6291666666666667,0.9950000000000001,0.0,0.9891666666666665,0.6599999999999999,0.595,0.8125,0.6841666666666667,0.8074999999999999,0.6775,0.6475,0.8216666666666667,0.795,0.7975000000000001,0.7116666666666667,0.835,0.575,0.5658333333333333,0.8699999999999999,0.8099999999999999,0.8608333333333335,0.5974999999999999,0.8958333333333333
Sp2s1a2nf1,0.9666666666666666,0.9966666666666667,0.9991666666666668,0.9991666666666668,0.9950000000000001,0.9966666666666667,1.0,0.9983333333333334,1.0,0.9958333333333333,0.9983333333333334,0.9966666666666667,0.9991666666666668,0.9991666666666668,1.0,0.9941666666666666,0.6408333333333334,0.9983333333333334,0.7491666666666668,0.9933333333333334,0.9833333333333334,0.9891666666666665,0.7333333333333334,0.9891666666666665,0.0,0.9925,0.9899999999999999,1.0,0.9958333333333333,0.9891666666666665,0.9891666666666665,0.9958333333333332,0.9858333333333332,0.9983333333333334,0.9966666666666667,0.9941666666666666,1.0,0.9966666666666667,0.9991666666666668,0.9925,0.9924999999999999,0.9741666666666667,0.99,0.9950000000000001
SU5adj1a2A2nf1,1.0,0.9175000000000001,0.6941666666666667,0.8241666666666667,0.735,0.6525000000000001,0.7424999999999999,0.6608333333333334,0.9491666666666667,0.8483333333333334,1.0,0.7316666666666667,0.6725,0.7,1.0,0.9208333333333334,0.8841666666666667,0.5541666666666667,0.9966666666666667,0.9383333333333332,0.6033333333333333,0.5808333333333333,0.9933333333333334,0.6599999999999999,0.9925,0.0,0.7208333333333333,0.8358333333333334,0.65,0.8183333333333334,0.6758333333333333,0.8533333333333333,0.8583333333333334,0.7383333333333333,0.8166666666666667,0.7591666666666665,0.8383333333333333,0.7458333333333333,0.6791666666666667,0.8691666666666666,0.8516666666666666,0.7666666666666666,0.7825,0.8958333333333333
Sp3a3nf1,1.0,0.7950000000000002,0.8916666666666666,0.8241666666666667,0.5741666666666667,0.615,0.9833333333333332,0.8291666666666666,0.9766666666666668,0.6891666666666666,0.9991666666666668,0.7316666666666667,0.7433333333333334,0.7275,1.0,0.7916666666666667,0.8866666666666665,0.7375,0.9925,0.8474999999999999,0.6841666666666667,0.6641666666666667,0.9974999999999999,0.595,0.9899999999999999,0.7208333333333333,0.0,0.8766666666666666,0.6358333333333334,0.8175000000000001,0.67,0.6733333333333332,0.8041666666666666,0.7883333333333333,0.8333333333333334,0.7058333333333333,0.8291666666666666,0.6091666666666666,0.5958333333333334,0.8699999999999999,0.7591666666666667,0.655,0.58,0.8958333333333333
SU4a3A3nf1,1.0,0.9200000000000002,0.9125,0.8141666666666666,0.7925000000000001,0.8225000000000001,0.9683333333333332,0.8716666666666665,0.9716666666666667,0.8908333333333334,0.9991666666666668,0.7333333333333332,0.8583333333333334,0.8241666666666667,1.0,0.8791666666666667,0.8899999999999999,0.8566666666666667,0.9991666666666668,0.9266666666666667,0.7466666666666667,0.7583333333333334,0.9991666666666668,0.8125,1.0,0.8358333333333334,0.8766666666666666,0.0,0.8191666666666666,0.8141666666666667,0.8125,0.8666666666666668,0.8408333333333333,0.9066666666666668,0.8441666666666666,0.5833333333333334,0.8333333333333334,0.9141666666666668,0.7374999999999999,0.8683333333333334,0.8550000000000001,0.8791666666666668,0.8458333333333334,0.8925000000000001
Sp2s2nf1,1.0,0.6091666666666666,0.8941666666666667,0.8091666666666667,0.5716666666666667,0.6791666666666667,0.9149999999999998,0.755,0.9641666666666666,0.7291666666666666,0.9991666666666668,0.7283333333333333,0.7683333333333333,0.8658333333333333,1.0,0.62,0.8875,0.7675,0.9841666666666666,0.6308333333333334,0.6975,0.6658333333333333,0.9941666666666666,0.6841666666666667,0.9958333333333333,0.65,0.6358333333333334,0.8191666666666666,0.0,0.8099999999999999,0.5616666666666666,0.5666666666666667,0.7958333333333332,0.7758333333333333,0.8066666666666666,0.6575,0.8383333333333333,0.6050000000000001,0.6366666666666667,0.8799999999999999,0.6274999999999998,0.6841666666666666,0.6316666666666667,0.8958333333333333
Sp2adj2nf2,0.99,0.8191666666666666,0.8208333333333334,0.5366666666666666,0.8033333333333333,0.795,0.8516666666666666,0.7825,0.7766666666666666,0.7333333333333333,0.9991666666666668,0.5683333333333332,0.7266666666666667,0.7416666666666666,1.0,0.8183333333333334,0.8800000000000001,0.8175000000000001,0.9891666666666665,0.8166666666666667,0.7825,0.6516666666666667,0.9866666666666666,0.8074999999999999,0.9891666666666665,0.8183333333333334,0.8175000000000001,0.8141666666666667,0.8099999999999999,0.0,0.8116666666666668,0.8216666666666667,0.5583333333333333,0.7541666666666667,0.5541666666666667,0.8225,0.7733333333333333,0.8183333333333334,0.7916666666666666,0.5866666666666667,0.8141666666666666,0.8058333333333334,0.7983333333333333,0.7975
SU4adj2a1A1nf0,1.0,0.6083333333333334,0.8858333333333335,0.8308333333333333,0.59,0.6991666666666666,0.9508333333333334,0.7275,0.9541666666666664,0.6908333333333333,0.9908333333333333,0.7266666666666667,0.755,0.8991666666666666,0.9974999999999999,0.5833333333333333,0.8816666666666666,0.7558333333333334,0.9816666666666667,0.6383333333333334,0.7783333333333334,0.625,0.9858333333333335,0.6775,0.9891666666666665,0.6758333333333333,0.67,0.8125,0.5616666666666666,0.8116666666666668,0.0,0.5758333333333334,0.8041666666666666,0.7566666666666666,0.7941666666666667,0.7533333333333334,0.8341666666666667,0.6533333333333332,0.6083333333333333,0.85,0.5858333333333333,0.6741666666666666,0.6300000000000001,0.8908333333333331
Sp4a3nf0,1.0,0.6050000000000001,0.95,0.8258333333333333,0.6008333333333333,0.7083333333333333,0.9866666666666667,0.9,0.9766666666666666,0.6675000000000001,0.9966666666666667,0.7541666666666667,0.8341666666666667,0.8908333333333334,1.0,0.6083333333333332,0.8866666666666667,0.7733333333333333,1.0,0.6508333333333333,0.7625,0.7066666666666667,0.9983333333333334,0.6475,0.9958333333333332,0.8533333333333333,0.6733333333333332,0.8666666666666668,0.5666666666666667,0.8216666666666667,0.5758333333333334,0.0,0.8175000000000001,0.7558333333333334,0.8233333333333335,0.6916666666666667,0.8383333333333333,0.6258333333333332,0.6975,0.8608333333333335,0.7125,0.67,0.6408333333333334,0.8958333333333333
SO12s2nf1,1.0,0.8358333333333332,0.9016666666666666,0.5691666666666666,0.7625,0.8033333333333333,0.9058333333333334,0.8491666666666665,0.9058333333333334,0.6616666666666666,0.9091666666666667,0.5291666666666666,0.6925000000000001,0.6633333333333333,0.9708333333333334,0.8441666666666666,0.8699999999999999,0.8524999999999998,0.9866666666666666,0.8033333333333333,0.8016666666666665,0.6066666666666667,0.9858333333333332,0.8216666666666667,0.9858333333333332,0.8583333333333334,0.8041666666666666,0.8408333333333333,0.7958333333333332,0.5583333333333333,0.8041666666666666,0.8175000000000001,0.0,0.8083333333333333,0.5475000000000001,0.8083333333333332,0.6183333333333334,0.7991666666666666,0.7999999999999999,0.5783333333333334,0.8491666666666665,0.8424999999999999,0.77,0.6833333333333333
SU2adj1nf3,1.0,0.8958333333333334,0.7916666666666666,0.7491666666666666,0.7983333333333332,0.7883333333333333,0.9925,0.875,0.9458333333333334,0.7925000000000001,0.9991666666666668,0.725,0.7341666666666666,0.6091666666666666,1.0,0.9091666666666667,0.8841666666666667,0.8158333333333333,0.9975000000000002,0.8633333333333333,0.8549999999999999,0.5499999999999999,0.9908333333333333,0.795,0.9983333333333334,0.7383333333333333,0.7883333333333333,0.9066666666666668,0.7758333333333333,0.7541666666666667,0.7566666666666666,0.7558333333333334,0.8083333333333333,0.0,0.6375,0.9033333333333333,0.8375,0.865,0.8283333333333334,0.8208333333333334,0.8841666666666667,0.8241666666666667,0.7933333333333333,0.8908333333333331
SU3adj2nf2,1.0,0.8558333333333333,0.7725,0.5725,0.7716666666666667,0.8091666666666667,0.8658333333333333,0.8083333333333333,0.7283333333333334,0.6775,0.9991666666666668,0.5941666666666666,0.7191666666666666,0.7016666666666667,1.0,0.845,0.8883333333333333,0.8324999999999999,0.9966666666666667,0.8683333333333334,0.7841666666666667,0.6266666666666667,0.9916666666666666,0.7975000000000001,0.9966666666666667,0.8166666666666667,0.8333333333333334,0.8441666666666666,0.8066666666666666,0.5541666666666667,0.7941666666666667,0.8233333333333335,0.5475000000000001,0.6375,0.0,0.8508333333333333,0.8166666666666667,0.8324999999999999,0.8149999999999998,0.6675,0.8508333333333333,0.7516666666666667,0.7658333333333334,0.8716666666666667
