Theories,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,Sp3a3nf1,SO12s2nf1,SO5nf5,SU4s1S1a2A2nf1,SU5s1S1a2A2nf1,SU5s1S1a1A1nf1,SU5a3A3nf0,SU2adj2nf1,SU2adj1nf3,Sp2s2nf1,SU7s1S2a1f8nf0,SU6s2S2nf1,SU3nf6,SU2adj1nf2,Sp4a3nf0,Sp2adj1nf1,Sp5a3nf1,SO5adj1nf2,SU7a2A2nf1,SU3adj2nf2,Sp2s1a2nf1,SU6adj1s1A1F8nf1,Sp2s1a2nf0,Sp2adj1a2nf4,SU3adj1nf3,SU3adj1nf4,SU4adj2a1A1nf0,Sp2s2a1nf1,Sp2adj2nf2,SU5adj1a2A2nf1,Sp2s1a1nf2,Sp4s1a1nf1,SU8s1S2a1f8nf1,SU3adj1nf2,SU4adj1a2A2nf1,SU4adj2a1A1nf1,SU5adj1s1A1F8nf0
Sp5a3nf1,0.0,0.0,0.002499999999999991,0.008164965809277256,0.0062360956446232615,0.00745355992499931,0.018333333333333316,0.05963430220938282,0.0062360956446232615,0.03496029493900504,0.018276426832884426,0.02229848026709944,0.041466184348749074,0.026352313834736497,0.002499999999999991,0.021746647251166477,0.028333333333333342,0.019166666666666686,0.019094065395649333,0.01929306150465038,0.10959521481849066,0.09124524340722888,0.03375771516754849,0.0,0.07243771270700242,0.10426994879744701,0.037490739597339985,0.07404953297174355,0.03179797338056486,0.10051602967796837,0.10601690116832001,0.06664583007710732,0.07703264098924416,0.08051914886120774,0.05204164998665334,0.028975564417856193,0.06677595209188542,0.04475240527365852,0.08984941105353261,0.06075908711186061,0.05664215155988809,0.05,0.05629781918018177,0.05921359641163507
SO5adj1nf2,0.0,0.0,0.002499999999999991,0.00946484724300045,0.006922186552431748,0.006922186552431741,0.0205649377987551,0.011814539065631522,0.021164041832000498,0.0414661843487491,0.023333333333333327,0.02333333333333333,0.02743679605525721,0.023921166824012196,0.026153924710792018,0.02581988897471612,0.03790521805181386,0.029119008682760232,0.030379543555930286,0.021098314835286947,0.04169998667732267,0.033993463423951896,0.039272905559827244,0.07243771270700242,0.0,0.0784573486395988,0.023570226039551587,0.12506664889836405,0.02667968432263688,0.041574898944221415,0.08867857062948686,0.07653975002136691,0.11789826122551596,0.076630426217151,0.026299556396765837,0.01892969448600091,0.1002773930432755,0.10804127297781468,0.10629165849993435,0.053489355119604044,0.04463587246947361,0.09966610925150703,0.06811448695639816,0.08571998988956232
SU7a2A2nf1,0.0,0.005000000000000016,0.011902380714238091,0.011902380714238079,0.0062360956446232615,0.007861650943380519,0.0318525247560273,0.06793072451647585,0.05110582702153986,0.13600449338982232,0.04369242242972775,0.05170025789748699,0.012936812246883346,0.04422166387140534,0.03492054473292827,0.09721468224730483,0.005527707983925671,0.030379543555930314,0.05630398643869622,0.018257418583505543,0.1355774686295625,0.12166666666666669,0.027398803704622648,0.10426994879744701,0.0784573486395988,0.0,0.060918889608323534,0.04085883557377088,0.06379764015141068,0.06247777382575521,0.07737445027627372,0.10168374173550722,0.037601713908928254,0.028492201662131268,0.06584915421712803,0.08475454756727412,0.08490190417966686,0.12067230649803441,0.06064468466220084,0.06566434006030637,0.1330100246848585,0.12389791945163744,0.09761389359216352,0.0694672184878914
SU3adj2nf2,0.0,0.0,0.002499999999999991,0.008700255424092114,0.0069221865524317526,0.008975274678557521,0.026034165586355514,0.010408329997330667,0.04021642837337886,0.035949424350204984,0.02915475947422651,0.04301162633521314,0.034369317712168806,0.0205649377987551,0.07209176251294054,0.12086493839543927,0.033634060117684286,0.025289984842489194,0.0698212002188447,0.021015867021530833,0.041466184348749095,0.045407109086084245,0.023109041039770076,0.037490739597339985,0.023570226039551587,0.060918889608323534,0.0,0.03045944480416178,0.05137687547266116,0.033134825586785065,0.031939613161228016,0.08515100965017647,0.06635866350539486,0.024720661623652187,0.02739880370462264,0.042171936429599974,0.052763887060922436,0.07783975705112252,0.03411581581743122,0.06438275303906234,0.08028162236084227,0.08989191040107868,0.0348109976236757,0.13973188612482118
Sp2s1a2nf1,0.0,0.0,0.002499999999999991,0.00946484724300045,0.0069221865524317526,0.00837489635093409,0.010034662148993572,0.013565683830083084,0.01945436254988125,0.030833333333333338,0.017950549357115,0.027688746209726924,0.03460089915337783,0.01643590243609667,0.025940637360455626,0.030505008696205198,0.043212973874880586,0.028000496027352415,0.039405301391789646,0.021015867021530833,0.04062019202317982,0.041197356981027576,0.07357913351548039,0.07404953297174355,0.12506664889836405,0.04085883557377088,0.03045944480416178,0.0,0.04425306015783918,0.080605348595625,0.059511903571190426,0.10548828265631105,0.0793900357587637,0.06646323127196806,0.029356524923014223,0.019166666666666655,0.09780933834080806,0.02479079130107254,0.07350359023733315,0.07207731188722903,0.054237133650909944,0.053903205429320776,0.050860648398890415,0.10978514370249637
SU6adj1s1A1F8nf1,0.012936812246883346,0.0065085413965888924,0.008539125638299679,0.016996731711975955,0.03237154099925838,0.025013885033006052,0.07201948038937489,0.028734899415944454,0.038550111687401266,0.030092450142112977,0.10366881026722656,0.15559027390339453,0.030788255336518598,0.033757715167548503,0.038333333333333344,0.0506965372475171,0.03540440964374666,0.053935403750948026,0.04760952285695233,0.06712860791048773,0.020138409955990966,0.04834051670757726,0.0380058475033046,0.03179797338056486,0.02667968432263688,0.06379764015141068,0.05137687547266116,0.04425306015783918,0.0,0.03300883720056392,0.06739704081865248,0.03342695186688595,0.07303442871535161,0.03597838857487151,0.047871355387816915,0.06849574196011507,0.026679684322636878,0.05698440332426253,0.06438275303906232,0.037490739597339985,0.07531876702832213,0.02862594006219611,0.047791503196465544,0.06115213269652444
Sp2s1a2nf0,0.0,0.0,0.002499999999999991,0.010671873729054746,0.00623609564462325,0.007861650943380519,0.024094720491334914,0.01455354099714417,0.03782268572636739,0.022189211592823922,0.01674979270186814,0.01902118701752219,0.04555978977612214,0.019002923751652277,0.11355676505117997,0.026925824035672518,0.07199537022151725,0.022422706745122825,0.05727613425813194,0.018333333333333337,0.061964371483404355,0.07141428428542848,0.0502009849394301,0.10051602967796837,0.041574898944221415,0.06247777382575521,0.033134825586785065,0.080605348595625,0.03300883720056392,0.0,0.06053006599111626,0.11224044131535953,0.07092640943651073,0.053202965665041235,0.050476892403026025,0.028674417556808742,0.08976822006330153,0.12561238880867692,0.11590225767142472,0.05937171043518958,0.06377042156569662,0.0858980338670346,0.05086064839889043,0.09809292646374773
Sp2adj1a2nf4,0.037500000000000006,0.0826807783654164,0.04561310727801335,0.08177289010152175,0.09382311963358382,0.11920162657354041,0.09342629299197427,0.058925565098878946,0.03551212625443754,0.0872576007513895,0.023935677693908454,0.0339934634239519,0.03905124837953329,0.08320406640703727,0.04913134324327892,0.0871461097493425,0.03583333333333334,0.04282555052509866,0.04944132324730442,0.05398044913567217,0.11572236891226634,0.09297923902080986,0.032712977377317536,0.10601690116832001,0.08867857062948686,0.07737445027627372,0.031939613161228016,0.059511903571190426,0.06739704081865248,0.06053006599111626,0.0,0.08797095480264432,0.04666666666666666,0.03940530139178962,0.06635866350539486,0.07785759793080925,0.021098314835286906,0.13001335401497116,0.04021642837337886,0.07386173268720114,0.067515430335097,0.07824463062870335,0.032446537223219656,0.0929456232906579
SU3adj1nf3,0.0,0.0,0.002499999999999991,0.009166666666666634,0.0062360956446232615,0.008333333333333349,0.020682789409984755,0.1537697593445762,0.013540064007726612,0.07699206308300731,0.010540925533894577,0.027688746209726892,0.028198207192814375,0.029391986814247324,0.038087982940088125,0.03083333333333334,0.03274480450731416,0.03420729291962298,0.010671873729054752,0.020682789409984772,0.07147260547463856,0.10360180178613368,0.13945329763839298,0.06664583007710732,0.07653975002136691,0.10168374173550722,0.08515100965017647,0.10548828265631105,0.03342695186688595,0.11224044131535953,0.08797095480264432,0.0,0.07414325473178407,0.10253725610181348,0.041028445416970566,0.032956199888808636,0.05441609239104836,0.046014792307595066,0.08866682330813232,0.04612784167699349,0.11371565415544159,0.06650501234242925,0.04334134541315282,0.06542595475463509
SU3adj1nf4,0.0,0.009999999999999998,0.0038188130791298527,0.014648663192705783,0.06668749674580852,0.012909944487358075,0.07190367785370153,0.06570134448142342,0.016853123680130578,0.1506375340566443,0.03656235161413384,0.014337208778404378,0.01685312368013056,0.0703957069398096,0.03287180487219337,0.059634302209382824,0.02266911751455907,0.044103728741330825,0.018427786989579968,0.01750000000000001,0.09272120697134084,0.04657729537494042,0.09895285072531598,0.07703264098924416,0.11789826122551596,0.037601713908928254,0.06635866350539486,0.0793900357587637,0.07303442871535161,0.07092640943651073,0.04666666666666666,0.07414325473178407,0.0,0.05937171043518959,0.04262237284181474,0.05102423171613878,0.0842450130406674,0.10234744745229361,0.08668669640338898,0.09835098711587326,0.09084862256645512,0.0755581086169961,0.08106924338010206,0.03678956675774017
