Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU2nf4,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU4s1S1a2A2nf1,SU3nf6,SU5s1S1a2A2nf1,SO5nf5,SU2adj1nf3,SU7s1S2a1f8nf0,SU5a3A3nf0,Sp2adj1nf1,SU2adj2nf1,SU2adj1nf2,SO5adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SO12s2nf1,SU3adj2nf2,SU6adj1s1A1F8nf1,SU7a2A2nf1,Sp2adj2nf2,Sp2s1a2nf1,Sp4a3nf0,Sp2adj1a2nf4,SU8s1S2a1f8nf1,SU6s2S2nf1,Sp2s2nf1,SU5adj1a2A2nf1,Sp2s1a1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf0,SU5adj1s1A1F8nf0,Sp2s2a1nf1,SU3adj1nf2,SU4adj1a2A2nf1,Sp4s1a1nf1,SU3adj1nf3,SU4adj2a1A1nf1
SO12s2nf1,1.0,0.99,0.9941666666666666,0.9508333333333333,0.9700000000000001,0.9066666666666666,0.9116666666666667,0.6358333333333335,0.8966666666666667,0.6725000000000001,0.8800000000000001,0.8425,0.875,0.8583333333333334,0.8516666666666668,0.845,0.8491666666666667,0.8416666666666666,0.835,0.8724999999999999,0.0,0.6266666666666667,0.5783333333333334,0.6958333333333333,0.6058333333333333,0.8716666666666667,0.8641666666666667,0.8125,0.57,0.6683333333333333,0.8699999999999999,0.8666666666666668,0.875,0.7849999999999999,0.8233333333333333,0.7125000000000001,0.5691666666666666,0.7575000000000001,0.8683333333333332,0.8041666666666668,0.8733333333333333,0.62
SU3adj2nf2,1.0,1.0,0.9949999999999999,0.9791666666666666,0.9908333333333333,0.9450000000000001,0.8966666666666667,0.8533333333333333,0.9358333333333334,0.8999999999999998,0.8966666666666667,0.5783333333333334,0.8241666666666667,0.8891666666666668,0.8658333333333333,0.7275,0.8533333333333333,0.8474999999999999,0.8441666666666666,0.8633333333333335,0.6266666666666667,0.0,0.5708333333333332,0.6900000000000002,0.5458333333333333,0.8174999999999999,0.8574999999999999,0.7858333333333334,0.7491666666666666,0.6799999999999999,0.8300000000000001,0.8074999999999999,0.8225,0.7741666666666667,0.7841666666666667,0.6325000000000001,0.5599999999999999,0.8333333333333333,0.8575000000000002,0.7475,0.7958333333333333,0.6100000000000001
SU6adj1s1A1F8nf1,0.9708333333333332,0.9724999999999999,0.97,0.8549999999999999,0.8008333333333333,0.8916666666666666,0.7975000000000001,0.7366666666666666,0.7883333333333333,0.7416666666666668,0.9216666666666666,0.725,0.6625000000000001,0.8400000000000001,0.9633333333333333,0.8816666666666666,0.9091666666666667,0.9408333333333332,0.9333333333333333,0.8183333333333334,0.5783333333333334,0.5708333333333332,0.0,0.6833333333333333,0.5258333333333334,0.8591666666666666,0.8324999999999999,0.7441666666666666,0.5641666666666666,0.7775,0.9025000000000001,0.8308333333333333,0.8183333333333334,0.835,0.8891666666666668,0.635,0.6199999999999999,0.8391666666666666,0.8341666666666667,0.795,0.8166666666666667,0.6458333333333334
SU7a2A2nf1,1.0,0.9808333333333333,0.9983333333333334,0.9883333333333333,0.9466666666666667,0.9258333333333333,0.9166666666666666,0.8324999999999999,0.9433333333333334,0.7975000000000001,0.9324999999999999,0.7424999999999999,0.8108333333333333,0.8683333333333334,0.9841666666666665,0.9133333333333333,0.9108333333333333,0.9775,0.9766666666666668,0.7300000000000001,0.6958333333333333,0.6900000000000002,0.6833333333333333,0.0,0.7125000000000001,0.8241666666666665,0.7875,0.6141666666666666,0.6333333333333333,0.6275,0.8975000000000002,0.7600000000000001,0.6675,0.7883333333333333,0.8099999999999999,0.5533333333333333,0.6341666666666667,0.6150000000000001,0.725,0.6616666666666666,0.5808333333333334,0.5741666666666666
Sp2adj2nf2,1.0,0.9891666666666667,0.9733333333333333,0.9650000000000001,0.9591666666666667,0.9108333333333334,0.8391666666666666,0.8574999999999999,0.8308333333333333,0.8933333333333332,0.8758333333333332,0.7258333333333333,0.7958333333333334,0.8258333333333334,0.8675,0.8225,0.8458333333333332,0.8324999999999999,0.8333333333333334,0.8208333333333334,0.6058333333333333,0.5458333333333333,0.5258333333333334,0.7125000000000001,0.0,0.8283333333333334,0.8241666666666667,0.7424999999999999,0.5783333333333334,0.75,0.845,0.8191666666666666,0.8216666666666667,0.7716666666666667,0.8333333333333334,0.6116666666666666,0.58,0.8008333333333333,0.8133333333333332,0.7983333333333333,0.7966666666666666,0.6283333333333333
Sp2s1a2nf1,1.0,0.9983333333333334,0.97,0.9891666666666665,0.9891666666666665,0.9566666666666667,0.9708333333333334,0.9524999999999999,0.8425,0.9008333333333333,0.8491666666666665,0.9116666666666667,0.9158333333333333,0.8099999999999999,0.7216666666666668,0.8366666666666667,0.7525,0.7983333333333335,0.7766666666666666,0.8375,0.8716666666666667,0.8174999999999999,0.8591666666666666,0.8241666666666665,0.8283333333333334,0.0,0.6825,0.6566666666666668,0.9000000000000001,0.7833333333333334,0.645,0.6416666666666667,0.5733333333333335,0.5558333333333334,0.6900000000000001,0.7883333333333333,0.735,0.6008333333333333,0.5608333333333333,0.6074999999999999,0.5691666666666667,0.6925
Sp4a3nf0,1.0,0.9875,0.9908333333333333,0.9891666666666665,0.9908333333333333,0.9683333333333334,0.945,0.9524999999999999,0.8591666666666666,0.9008333333333333,0.8841666666666665,0.8583333333333334,0.8699999999999999,0.6208333333333333,0.9099999999999999,0.8758333333333332,0.8175000000000001,0.7358333333333333,0.7375,0.5800000000000001,0.8641666666666667,0.8574999999999999,0.8324999999999999,0.7875,0.8241666666666667,0.6825,0.0,0.7308333333333333,0.8699999999999999,0.7791666666666666,0.5616666666666665,0.5783333333333334,0.6516666666666666,0.6441666666666667,0.7241666666666666,0.6758333333333333,0.7716666666666667,0.6133333333333335,0.6825,0.5858333333333333,0.6216666666666667,0.7266666666666667
Sp2adj1a2nf4,0.9708333333333334,0.9283333333333333,0.8633333333333333,0.9199999999999999,0.8775000000000001,0.9049999999999999,0.8008333333333333,0.9399999999999998,0.55,0.8308333333333333,0.9875,0.8141666666666667,0.7733333333333333,0.8441666666666666,0.9908333333333333,0.9033333333333333,0.9141666666666668,0.99,0.9916666666666668,0.7299999999999999,0.8125,0.7858333333333334,0.7441666666666666,0.6141666666666666,0.7424999999999999,0.6566666666666668,0.7308333333333333,0.0,0.6633333333333333,0.8458333333333334,0.8808333333333334,0.7416666666666666,0.5666666666666665,0.7525000000000002,0.8158333333333333,0.615,0.7175,0.8025,0.6233333333333333,0.7033333333333334,0.5725,0.6216666666666667
SU8s1S2a1f8nf1,0.835,0.7424999999999999,0.7374999999999999,0.9075,0.75,0.9208333333333334,0.7508333333333334,0.7783333333333333,0.6358333333333334,0.7491666666666668,0.9508333333333333,0.885,0.595,0.8833333333333334,0.9566666666666667,0.8774999999999998,0.9408333333333333,0.9391666666666666,0.9283333333333333,0.8491666666666667,0.57,0.7491666666666666,0.5641666666666666,0.6333333333333333,0.5783333333333334,0.9000000000000001,0.8699999999999999,0.6633333333333333,0.0,0.7708333333333333,0.8791666666666667,0.8066666666666666,0.8574999999999999,0.82,0.8816666666666668,0.5608333333333333,0.7158333333333333,0.885,0.8,0.8150000000000001,0.7649999999999999,0.6941666666666666
SU6s2S2nf1,1.0,0.9933333333333334,0.9974999999999999,0.9866666666666667,0.9850000000000001,0.9349999999999999,0.945,0.82,0.9791666666666666,0.805,0.775,0.85,0.865,0.8266666666666665,0.7216666666666667,0.7474999999999999,0.7683333333333333,0.7241666666666666,0.7166666666666667,0.8558333333333333,0.6683333333333333,0.6799999999999999,0.7775,0.6275,0.75,0.7833333333333334,0.7791666666666666,0.8458333333333334,0.7708333333333333,0.0,0.7125,0.7958333333333333,0.7141666666666667,0.6816666666666666,0.6675,0.8091666666666667,0.6233333333333333,0.6433333333333333,0.7216666666666667,0.6325000000000001,0.7383333333333334,0.5758333333333333
