Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf0,SU2nf4,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU3nf6,Sp2adj1nf1,SO5adj1nf2,SU2adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SU6adj1s1A1F8nf1,SU6s2S2nf1,SU5adj1a2A2nf1,SU7a2A2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU2adj1nf2,0.0,0.004166666666666673,0.007881060278357945,0.016499158227686113,0.008137703743822479,0.0188826787176914,0.01224858268444875,0.025137952714305647,0.07151845138765861,0.05846271366340164,0.0,0.05001777461840718,0.04184495190581535,0.03654107278118692,0.06855573563815713,0.08997669451338805,0.04808123912250551,0.05510721872455146,0.03241441723129453,0.061829739338498474,0.043116444400921765,0.06221914674939076,0.07592485319928734,0.04109609335312651,0.039505273909525886,0.05731104217823608
Sp2s1a2nf0,0.0,0.0,0.00744610263456291,0.0,0.007965202096899023,0.028821288428289713,0.012606215398233795,0.009854496999396332,0.06042097685774738,0.02354428451521374,0.05001777461840718,0.0,0.08782068220084734,0.03538832199092426,0.08690496086082901,0.08797427022841521,0.05840471822645077,0.08574769190285338,0.03236767935250636,0.030175873364880982,0.05754249637345333,0.06557438524302,0.09622615144659076,0.03478864757359791,0.04251666339997374,0.06202172558422124
Sp3a3nf1,0.0,0.0,0.008348319857578815,0.0,0.007783529619223758,0.09136450198092377,0.022657473625960833,0.015059142664102026,0.027938424357067015,0.06367539207225625,0.04184495190581535,0.08782068220084734,0.0,0.03821030983619183,0.06058877783880444,0.12596251647039905,0.062163762219908575,0.09278245164541264,0.05703921652882534,0.0943610088966836,0.0987358991338904,0.0937247743840087,0.09498961931589041,0.09794499590189497,0.07362083793178245,0.09415545655988292
SU6adj1s1A1F8nf1,0.021715329966536443,0.02843901857972208,0.03680617399899703,0.02367664109060517,0.050504400248339194,0.040078048854703494,0.041878130065438425,0.0614240723712346,0.028990419873545194,0.031180478223116176,0.03654107278118692,0.03538832199092426,0.03821030983619183,0.0,0.06887670143089025,0.03221843847516166,0.05396114857520692,0.03963584236521282,0.033866158132664914,0.04760397975893285,0.06329582222478125,0.05872156522285678,0.04559757547160692,0.07102425250887505,0.05668039049500865,0.037127408264575175
SU6s2S2nf1,0.0035000000000000027,0.008852181149926336,0.008989191040107885,0.002260776661041748,0.010172129679778092,0.029240858020546823,0.027235597621087328,0.018024674446127698,0.06961581078398146,0.07976162402224936,0.06855573563815713,0.08690496086082901,0.06058877783880444,0.06887670143089025,0.0,0.0917629797055678,0.08093636045958853,0.07556252010384808,0.10592515701611628,0.11602550007074594,0.0793473376995095,0.09148466781075637,0.08810284394451243,0.10416453331148756,0.0641387385109637,0.04831292672659037
SU5adj1a2A2nf1,0.0,0.004085883557377098,0.030684777260973482,0.0038586123009300786,0.013169830843425608,0.04776795764712761,0.07755356571786726,0.06631658079914018,0.0842695740532199,0.09899551056038405,0.08997669451338805,0.08797427022841521,0.12596251647039905,0.03221843847516166,0.0917629797055678,0.0,0.07822492498487223,0.09539231858197202,0.051862264166197415,0.09726310251637622,0.0978208396338258,0.07561764197446107,0.07861226932794199,0.10574142991278301,0.07659344329350624,0.07458943178046963
SU7a2A2nf1,0.004166666666666674,0.015478479684172262,0.008698658900466609,0.006064468466220088,0.015797327481430385,0.04273594635796791,0.03264965543462901,0.07333636357375667,0.031397540597243534,0.016770509831248424,0.04808123912250551,0.05840471822645077,0.062163762219908575,0.05396114857520692,0.08093636045958853,0.07822492498487223,0.0,0.10491120584146915,0.07577305296446459,0.05819889269660644,0.0668489175512796,0.10886548784828205,0.08512099231877723,0.07003649842125968,0.10543310148567617,0.03948839491968917
Sp2s1a2nf1,0.0,0.004422166387140532,0.00819213715162969,0.024639624816768436,0.007993052538854545,0.030652623596249196,0.017295632075437103,0.12587747570113125,0.09223174314976619,0.08209090489613734,0.05510721872455146,0.08574769190285338,0.09278245164541264,0.03963584236521282,0.07556252010384808,0.09539231858197202,0.10491120584146915,0.0,0.03818121993278313,0.10017817460238865,0.044123878644863807,0.056475412545834686,0.051007624702369525,0.12081896466292959,0.051379849054749946,0.05722761571129799
SU8s1S2a1f8nf1,0.1115184339520203,0.05968644923449729,0.040734915408447016,0.07121973041229515,0.025584283369982353,0.03828584014430864,0.04524900244449841,0.06051285446544028,0.030065206912088034,0.030579586509812566,0.03241441723129453,0.03236767935250636,0.05703921652882534,0.033866158132664914,0.10592515701611628,0.051862264166197415,0.07577305296446459,0.03818121993278313,0.0,0.04327849093692821,0.06417878673414346,0.06953835871900726,0.0579772464947337,0.05311648624590212,0.04828618389928485,0.06651253014783505
Sp2adj1a2nf4,0.04621688003316537,0.024855694630316724,0.0901363165186794,0.08914236428943935,0.02751968992073373,0.09310403380687171,0.05592057860136205,0.033641905085440356,0.012251983966326076,0.015871882896073386,0.061829739338498474,0.030175873364880982,0.0943610088966836,0.04760397975893285,0.11602550007074594,0.09726310251637622,0.05819889269660644,0.10017817460238865,0.04327849093692821,0.0,0.07375277772546757,0.1451827392556628,0.06713667651390955,0.0699168156533971,0.16411589739503538,0.05873220770771538
