Theories,SU2nf4,SU9s2A2F16nf0,Sp2s1a2nf0,SU10s2A2F16nf1,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,SU5s1S1a2A2nf1,SU7a2A2nf1,SU4a3A3nf1,Sp2adj1nf1,SU2adj1nf2,SO5adj1nf2,SO5nf5,SU4s1S1a2A2nf1,SU2adj1nf3,SU2adj2nf1,SU5a3A3nf0,SU7s1S2a1f8nf0,SU3nf6,SU5adj1a2A2nf1,SU5adj1s1A1F8nf0,SU5s1S1a1A1nf1,Sp4a3nf0,SU3adj2nf2,SU6adj1s1A1F8nf1,Sp3a3nf1,SO12s2nf1,SU6s2S2nf1,Sp2adj2nf2,Sp2adj1a2nf4,SU3adj1nf3,Sp2s1a1nf2,SU4adj2a1A1nf0,Sp4s1a1nf1,SU4adj1a2A2nf1,SU3adj1nf2,Sp2s2nf1,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU6adj1s1A1F8nf1,0.9974999999999999,1.0,0.9991666666666668,0.9266666666666667,0.9991666666666668,1.0,0.8133333333333332,0.7216666666666667,0.8058333333333334,0.7224999999999999,0.8916666666666666,0.8091666666666667,0.9033333333333333,0.8608333333333332,0.85,0.8408333333333331,0.56,0.7691666666666668,0.8658333333333333,0.8116666666666668,0.6158333333333333,0.8158333333333333,0.8166666666666667,0.7324999999999999,0.7883333333333333,0.8166666666666667,0.5625,0.0,0.8158333333333333,0.5616666666666668,0.7233333333333334,0.5258333333333333,0.7275,0.8133333333333335,0.8133333333333332,0.8216666666666667,0.8133333333333332,0.8166666666666667,0.8133333333333332,0.8191666666666665,0.5683333333333334,0.6575
Sp3a3nf1,1.0,1.0,0.9941666666666666,1.0,0.9925,0.9991666666666668,0.9883333333333333,0.9658333333333333,0.9041666666666666,0.9091666666666667,0.8866666666666667,0.8908333333333334,0.8366666666666666,0.775,0.7658333333333334,0.7191666666666666,0.8708333333333332,0.7825,0.6608333333333334,0.8016666666666665,0.8291666666666666,0.8516666666666666,0.7166666666666666,0.7583333333333332,0.72,0.7116666666666667,0.825,0.8158333333333333,0.0,0.8091666666666667,0.6525000000000001,0.8058333333333334,0.6666666666666667,0.5658333333333333,0.5525,0.6908333333333333,0.5333333333333334,0.5591666666666667,0.5933333333333334,0.6475000000000001,0.7591666666666667,0.7083333333333334
SO12s2nf1,1.0,0.9674999999999999,0.9875,0.9416666666666667,0.9841666666666666,0.9816666666666667,0.915,0.7841666666666666,0.8933333333333332,0.6883333333333334,0.8791666666666668,0.8166666666666667,0.78,0.8533333333333333,0.8099999999999999,0.8641666666666665,0.5975,0.7775000000000001,0.8141666666666667,0.7966666666666666,0.6116666666666666,0.8391666666666666,0.8625,0.6808333333333334,0.7833333333333332,0.7983333333333335,0.5491666666666666,0.5616666666666668,0.8091666666666667,0.0,0.6641666666666666,0.5658333333333332,0.7033333333333333,0.82,0.7791666666666668,0.7833333333333334,0.7841666666666666,0.7833333333333334,0.7316666666666668,0.7916666666666666,0.5375,0.6066666666666667
SU6s2S2nf1,0.9983333333333334,0.9899999999999999,0.9966666666666667,0.9441666666666666,0.9958333333333333,0.9933333333333334,0.9816666666666668,0.9424999999999999,0.9400000000000001,0.8308333333333332,0.8866666666666667,0.8716666666666667,0.7416666666666666,0.6491666666666667,0.6975,0.7758333333333333,0.7491666666666665,0.7508333333333334,0.7875,0.8416666666666666,0.7508333333333334,0.8099999999999999,0.8800000000000001,0.8041666666666666,0.7658333333333334,0.6699999999999999,0.6733333333333332,0.7233333333333334,0.6525000000000001,0.6641666666666666,0.0,0.7083333333333333,0.7716666666666667,0.7233333333333334,0.705,0.6983333333333334,0.6358333333333335,0.7141666666666666,0.5625,0.665,0.6491666666666667,0.5758333333333333
Sp2adj2nf2,0.9966666666666667,1.0,0.9925,0.9991666666666668,0.9908333333333333,0.9883333333333335,0.8341666666666667,0.6658333333333333,0.8175000000000001,0.7975,0.8841666666666667,0.8150000000000001,0.8074999999999999,0.8125,0.8175000000000001,0.8075000000000001,0.5958333333333334,0.7274999999999999,0.7808333333333334,0.8091666666666667,0.7475,0.7258333333333333,0.8041666666666666,0.7125,0.7958333333333334,0.8100000000000002,0.5483333333333332,0.5258333333333333,0.8058333333333334,0.5658333333333332,0.7083333333333333,0.0,0.7158333333333334,0.7833333333333333,0.7983333333333333,0.785,0.7883333333333333,0.7825,0.7816666666666666,0.7874999999999999,0.5733333333333334,0.6449999999999999
Sp2adj1a2nf4,0.9983333333333334,1.0,0.9983333333333334,0.9933333333333334,0.9966666666666667,0.9983333333333334,0.9283333333333333,0.8583333333333334,0.7816666666666666,0.8408333333333333,0.8866666666666667,0.8033333333333333,0.9341666666666667,0.9141666666666666,0.9066666666666666,0.9191666666666668,0.8008333333333333,0.7550000000000001,0.8558333333333333,0.6758333333333334,0.7858333333333334,0.525,0.6291666666666668,0.625,0.5916666666666667,0.8666666666666666,0.7274999999999999,0.7275,0.6666666666666667,0.7033333333333333,0.7716666666666667,0.7158333333333334,0.0,0.5674999999999999,0.575,0.735,0.6883333333333332,0.5891666666666666,0.7316666666666667,0.7641666666666667,0.665,0.6191666666666666
SU3adj1nf3,0.9800000000000001,1.0,0.9933333333333334,0.9991666666666668,0.9908333333333335,0.9941666666666666,0.9633333333333333,0.95,0.8799999999999999,0.9083333333333334,0.8841666666666667,0.8408333333333333,0.8875,0.8433333333333334,0.8625,0.7941666666666667,0.86,0.8066666666666666,0.7858333333333333,0.7066666666666667,0.8316666666666667,0.5433333333333333,0.6441666666666667,0.6441666666666667,0.6108333333333333,0.6383333333333334,0.7766666666666666,0.8133333333333335,0.5658333333333333,0.82,0.7233333333333334,0.7833333333333333,0.5674999999999999,0.0,0.5558333333333334,0.6866666666666668,0.5766666666666667,0.5625000000000001,0.6700000000000002,0.6841666666666667,0.7233333333333333,0.6533333333333332
Sp2s1a1nf2,0.9983333333333334,1.0,0.9958333333333333,1.0,0.9941666666666669,0.9933333333333334,0.9841666666666666,0.9583333333333334,0.8941666666666667,0.9083333333333334,0.8833333333333334,0.7658333333333334,0.8358333333333334,0.8116666666666665,0.8466666666666667,0.7841666666666667,0.8608333333333335,0.7516666666666667,0.8258333333333333,0.7008333333333333,0.8341666666666667,0.5433333333333333,0.6708333333333333,0.7125000000000001,0.6033333333333333,0.635,0.8133333333333332,0.8133333333333332,0.5525,0.7791666666666668,0.705,0.7983333333333333,0.575,0.5558333333333334,0.0,0.6883333333333334,0.595,0.5533333333333333,0.6508333333333333,0.6408333333333334,0.7275,0.6433333333333333
SU4adj2a1A1nf0,1.0,1.0,0.9816666666666665,0.9941666666666664,0.9916666666666668,0.9883333333333335,0.9791666666666667,0.9516666666666668,0.8833333333333334,0.9066666666666666,0.8858333333333333,0.8233333333333333,0.6466666666666667,0.6316666666666666,0.5875,0.645,0.8724999999999999,0.7741666666666667,0.6241666666666666,0.7983333333333332,0.8341666666666667,0.7166666666666666,0.6333333333333333,0.8733333333333334,0.8033333333333333,0.5766666666666667,0.7808333333333334,0.8216666666666667,0.6908333333333333,0.7833333333333334,0.6983333333333334,0.785,0.735,0.6866666666666668,0.6883333333333334,0.0,0.6291666666666667,0.6225,0.5883333333333333,0.5449999999999999,0.7433333333333334,0.6325
Sp4s1a1nf1,1.0,1.0,0.9974999999999999,1.0,0.9883333333333333,0.9941666666666666,0.9883333333333333,0.9641666666666666,0.9016666666666667,0.9083333333333334,0.8883333333333333,0.8308333333333333,0.7550000000000001,0.7141666666666666,0.7183333333333334,0.7191666666666666,0.8358333333333332,0.725,0.7891666666666667,0.7258333333333333,0.8316666666666667,0.7999999999999999,0.6749999999999999,0.8058333333333334,0.6783333333333335,0.6083333333333333,0.7541666666666667,0.8133333333333332,0.5333333333333334,0.7841666666666666,0.6358333333333335,0.7883333333333333,0.6883333333333332,0.5766666666666667,0.595,0.6291666666666667,0.0,0.6216666666666667,0.5633333333333334,0.6075,0.6958333333333333,0.62
