Sp3a3nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp2s1a1nf2,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0488150958233917,0.04061639272540942,0.06037179048545565,0.043564766599729285,0.0,0.05321526282497216,0.053118665199650805,0.03561730748656603
SU5adj1s1A1F8nf0,0.0488150958233917,0.0,0.052195737965167195,0.05152836926884231,0.09470917146978865,0.0,0.060361564911113094,0.05948015542085351,0.04291090396405493
SU5adj1a2A2nf1,0.04061639272540942,0.052195737965167195,0.0,0.0599510088054415,0.05594044452212847,0.0,0.05721693610966754,0.06388927536114994,0.033017204643475434
SU5s1S1a1A1nf1,0.06037179048545565,0.05152836926884231,0.0599510088054415,0.0,0.04855301290062641,0.0,0.03419641884362156,0.06580226646252346,0.04130823610819482
Sp2adj1a2nf4,0.043564766599729285,0.09470917146978865,0.05594044452212847,0.04855301290062641,0.0,0.0,0.03381138678822875,0.04033440463835885,0.04233916553584406
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.05321526282497216,0.060361564911113094,0.05721693610966754,0.03419641884362156,0.03381138678822875,0.0,0.0,0.031164438423020278,0.0449009884683188
SU4adj2a1A1nf1,0.053118665199650805,0.05948015542085351,0.06388927536114994,0.06580226646252346,0.04033440463835885,0.0,0.031164438423020278,0.0,0.040531042820272534
SU3adj1nf3,0.03561730748656603,0.04291090396405493,0.033017204643475434,0.04130823610819482,0.04233916553584406,0.0,0.0449009884683188,0.040531042820272534,0.0

SU8s1S2a1f8nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0367085619238689,0.040489138918608406,0.08890277669287784,0.03676350847723263,0.05321526282497216,0.0,0.044175435886954974,0.05475884279454352
SU5adj1s1A1F8nf0,0.0367085619238689,0.0,0.03242922017236391,0.09685014515881712,0.035979417984710625,0.060361564911113094,0.0,0.05956436502009329,0.058292684249715565
SU5adj1a2A2nf1,0.040489138918608406,0.03242922017236391,0.0,0.09528547102079267,0.04683514560880035,0.05721693610966754,0.0,0.050568252373877305,0.0653049825108371
SU5s1S1a1A1nf1,0.08890277669287784,0.09685014515881712,0.09528547102079267,0.0,0.035495783091572315,0.03419641884362156,0.0,0.03298428357510533,0.04677289496817257
Sp2adj1a2nf4,0.03676350847723263,0.035979417984710625,0.04683514560880035,0.035495783091572315,0.0,0.03381138678822875,0.0,0.044643443382394205,0.057276134258131946
Sp2s1a1nf2,0.05321526282497216,0.060361564911113094,0.05721693610966754,0.03419641884362156,0.03381138678822875,0.0,0.0,0.031164438423020278,0.0449009884683188
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.044175435886954974,0.05956436502009329,0.050568252373877305,0.03298428357510533,0.044643443382394205,0.031164438423020278,0.0,0.0,0.06591277438524716
SU3adj1nf3,0.05475884279454352,0.058292684249715565,0.0653049825108371,0.04677289496817257,0.057276134258131946,0.0449009884683188,0.0,0.06591277438524716,0.0

SU4adj2a1A1nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
