SU2nf4,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
Sp2s1a2nf1,0.016629588385661965,0.005096597751635435,0.004602736706046208,0.0849168802018178,0.0,0.055805659255475794,0.0,0.012959576277176286
Sp2s2a1nf1,0.0038873012632301943,0.002444444444444451,0.0034138425546082676,0.035271259240280343,0.055805659255475794,0.0,0.0,0.012969575033254162
SU5s1a1A2F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf1,0.012,0.011830072581516582,0.010886621079036334,0.012583057392117908,0.012959576277176286,0.012969575033254162,0.0,0.0

SU5s1a1A2F8nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1
SU2nf4,0.0,0.00405060580745738,0.0028738927014172375,0.002619961360567012,0.017718303293626576,0.004548775442324151,0.012,0.0
SU9s2A2F16nf0,0.00405060580745738,0.0,0.013484787954315016,0.0048800425013328305,0.005653579659203804,0.002802115602870779,0.011830072581516582,0.0
SU10s2A2F16nf1,0.0028738927014172375,0.013484787954315016,0.0,0.002036700308869255,0.004699619107234789,0.003312900336861227,0.010886621079036334,0.0
Sp2s1a2nf0,0.002619961360567012,0.0048800425013328305,0.002036700308869255,0.0,0.06685057965343308,0.03489472704161249,0.012583057392117908,0.0
Sp2s1a2nf1,0.017718303293626576,0.005653579659203804,0.004699619107234789,0.06685057965343308,0.0,0.029844039047465853,0.012959576277176286,0.0
Sp2s2a1nf1,0.004548775442324151,0.002802115602870779,0.003312900336861227,0.03489472704161249,0.029844039047465853,0.0,0.012969575033254162,0.0
SU5s1a1A2F8nf0,0.012,0.011830072581516582,0.010886621079036334,0.012583057392117908,0.012959576277176286,0.012969575033254162,0.0,0.0
SU5s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

