SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU4adj2a1A1nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.08645815372582862,0.06710044065281888,0.07892800282301352,0.08055486589743097,0.08889055553993085,0.08975714834492207,0.0771421647365882,0.0
SU6s2S2nf1,0.08645815372582862,0.0,0.07421598443515394,0.04696058236751644,0.06645336246358081,0.09265467548315567,0.08055739461502273,0.05275157244160336,0.0
SU5adj1s1A1F8nf0,0.06710044065281888,0.07421598443515394,0.0,0.06827694150107151,0.07776388764858802,0.06920902317536991,0.06294432185925104,0.06982128862803244,0.0
SU3adj1nf2,0.07892800282301352,0.04696058236751644,0.06827694150107151,0.0,0.07293189788011184,0.0854060020442661,0.07587872064626275,0.05307762775314317,0.0
SU5s1S1a1A1nf1,0.08055486589743097,0.06645336246358081,0.07776388764858802,0.07293189788011184,0.0,0.04790177707469296,0.06952608534363111,0.06441809806277031,0.0
Sp2adj1a2nf4,0.08889055553993085,0.09265467548315567,0.06920902317536991,0.0854060020442661,0.04790177707469296,0.0,0.06948878584365029,0.0878529214225067,0.0
Sp2s1a1nf2,0.08975714834492207,0.08055739461502273,0.06294432185925104,0.07587872064626275,0.06952608534363111,0.06948878584365029,0.0,0.05819549853195448,0.0
SU8s1S2a1f8nf1,0.0771421647365882,0.05275157244160336,0.06982128862803244,0.05307762775314317,0.06441809806277031,0.0878529214225067,0.05819549853195448,0.0,0.0
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

