SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU6s2S2nf1,0.6361111111111112,0.0,0.5734444444444444,0.5031111111111111,0.5517777777777778,0.0,0.4774444444444444,0.6054444444444443,0.5464444444444445
SU5adj1s1A1F8nf0,0.5013333333333333,0.5734444444444444,0.0,0.5877777777777777,0.46255555555555555,0.0,0.44322222222222224,0.5284444444444446,0.4236666666666666
SU3adj1nf2,0.6066666666666667,0.5031111111111111,0.5877777777777777,0.0,0.5296666666666667,0.0,0.47144444444444455,0.5914444444444444,0.5654444444444444
SU5s1S1a1A1nf1,0.4616666666666667,0.5517777777777778,0.46255555555555555,0.5296666666666667,0.0,0.0,0.41266666666666657,0.4844444444444445,0.47588888888888886
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.43822222222222224,0.4774444444444444,0.44322222222222224,0.47144444444444455,0.41266666666666657,0.0,0.0,0.43933333333333324,0.40288888888888885
SU8s1S2a1f8nf1,0.5741111111111112,0.6054444444444443,0.5284444444444446,0.5914444444444444,0.4844444444444445,0.0,0.43933333333333324,0.0,0.451
SU4adj2a1A1nf1,0.46399999999999997,0.5464444444444445,0.4236666666666666,0.5654444444444444,0.47588888888888886,0.0,0.40288888888888885,0.451,0.0

Sp2s1a1nf2,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.6042222222222222,0.5354444444444444,0.5235555555555556,0.47300000000000003,0.43822222222222224,0.0,0.5582222222222222,0.47844444444444434
SU6s2S2nf1,0.6042222222222222,0.0,0.5266666666666666,0.4831111111111111,0.513,0.4774444444444444,0.0,0.5654444444444444,0.5165555555555555
SU5adj1s1A1F8nf0,0.5354444444444444,0.5266666666666666,0.0,0.5231111111111111,0.48744444444444446,0.44322222222222224,0.0,0.609,0.46411111111111114
SU3adj1nf2,0.5235555555555556,0.4831111111111111,0.5231111111111111,0.0,0.4822222222222223,0.47144444444444455,0.0,0.5591111111111111,0.5048888888888888
SU5s1S1a1A1nf1,0.47300000000000003,0.513,0.48744444444444446,0.4822222222222223,0.0,0.41266666666666657,0.0,0.4965555555555556,0.48155555555555557
Sp2adj1a2nf4,0.43822222222222224,0.4774444444444444,0.44322222222222224,0.47144444444444455,0.41266666666666657,0.0,0.0,0.43933333333333324,0.40288888888888885
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.5582222222222222,0.5654444444444444,0.609,0.5591111111111111,0.4965555555555556,0.43933333333333324,0.0,0.0,0.486
SU4adj2a1A1nf1,0.47844444444444434,0.5165555555555555,0.46411111111111114,0.5048888888888888,0.48155555555555557,0.40288888888888885,0.0,0.486,0.0

SU8s1S2a1f8nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
