Sp2adj1a2nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
SU3adj1nf3,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.1103453613226768,0.0,0.06033865333614724,0.05713790983874665,0.08292611615613467,0.1174647832698889,0.05651395544902009
SU5adj1a2A2nf1,0.1103453613226768,0.0,0.0,0.0708328758155159,0.07612732998319571,0.0948173032080871,0.09136313382443831,0.07313854601767966
SU3adj1nf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.06033865333614724,0.0708328758155159,0.0,0.0,0.08802665140754072,0.11071490470328188,0.05141215689448567,0.06413719862071918
SU3adj1nf2,0.05713790983874665,0.07612732998319571,0.0,0.08802665140754072,0.0,0.09764820960727427,0.061157154371865585,0.07627889049928865
SU4adj2a1A1nf1,0.08292611615613467,0.0948173032080871,0.0,0.11071490470328188,0.09764820960727427,0.0,0.13564223094160172,0.06907903864593741
SU8s1S2a1f8nf1,0.1174647832698889,0.09136313382443831,0.0,0.05141215689448567,0.061157154371865585,0.13564223094160172,0.0,0.047347024623948034
SU5adj1s1A1F8nf0,0.05651395544902009,0.07313854601767966,0.0,0.06413719862071918,0.07627889049928865,0.06907903864593741,0.047347024623948034,0.0

Sp2s1a1nf2,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.0647792071502295,0.06033865333614724,0.0,0.06399739578034927,0.08306809641478075,0.12234841969747355,0.06914075819980892
SU5adj1a2A2nf1,0.0647792071502295,0.0,0.0708328758155159,0.0,0.06791279811749878,0.08374387760927383,0.06677297080128779,0.06222509913984037
SU3adj1nf3,0.06033865333614724,0.0708328758155159,0.0,0.0,0.08802665140754072,0.11071490470328188,0.05141215689448567,0.06413719862071918
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf2,0.06399739578034927,0.06791279811749878,0.08802665140754072,0.0,0.0,0.07732638857705931,0.06606291427098344,0.07145437981720734
SU4adj2a1A1nf1,0.08306809641478075,0.08374387760927383,0.11071490470328188,0.0,0.07732638857705931,0.0,0.11739818283658965,0.07078126626672475
SU8s1S2a1f8nf1,0.12234841969747355,0.06677297080128779,0.05141215689448567,0.0,0.06606291427098344,0.11739818283658965,0.0,0.045440097591618385
SU5adj1s1A1F8nf0,0.06914075819980892,0.06222509913984037,0.06413719862071918,0.0,0.07145437981720734,0.07078126626672475,0.045440097591618385,0.0

SU3adj1nf2,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.09251099367435897,0.05713790983874665,0.06399739578034927,0.0,0.06609206074731791,0.11031990519159034,0.0803560748508294
SU5adj1a2A2nf1,0.09251099367435897,0.0,0.07612732998319571,0.06791279811749878,0.0,0.07528579293122939,0.06572680081731509,0.07434994001508619
